termino,factor_multiplicativo
Intercept,576.0659451730736
UF_CNES_PREST_HOSPITALAR[T.PE],4.8613434187983255
TIPO_UNIDADE_PREST_HOSPITALAR[T.UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)],4.33444787229738
DESC_ESPECIALIDADE[T.MEDICO CLINICO],2.869109110680057
TIPO_UNIDADE_PREST_HOSPITALAR[T.CONSULTORIO ISOLADO],2.1302687474233912
UF_CNES_PREST_HOSPITALAR[T.RJ],1.979996572327391
DESC_ESPECIALIDADE[T.MEDICO CIRURGIAO PLASTICO],1.8602764406309287
TIPO_UNIDADE_PREST_HOSPITALAR[T.HOSPITAL GERAL],1.747900226825451
edad_evento,1.0018409899839065
TIPO_UNIDADE_PREST_HOSPITALAR[T.POLICLINICA],0.9362810114163918
UF_CNES_PREST_HOSPITALAR[T.OTRO],0.7202605464196579
TIPO_UNIDADE_PREST_HOSPITALAR[T.OTRO],0.7202605464196155
DESC_ESPECIALIDADE[T.MEDICO EM MEDICINA INTENSIVA],0.6632291072191012
UF_CNES_PREST_HOSPITALAR[T.SP],0.4273332594668272
DESC_ESPECIALIDADE[T.MEDICO CARDIOLOGISTA],0.40923177685178264
DESC_ESPECIALIDADE[T.OTRO],0.2724148437559331
TIPO_UNIDADE_PREST_HOSPITALAR[T.COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE],0.0017792198708130814
DESC_ESPECIALIDADE[T.ONCOLOGIA CLINICA],0.0017792198708124476
