variable,categoria,n,media,mediana,sd
tipo_proc_mama,patologia,5,351.68,322.0,202.75
tipo_proc_mama,otro_procedimiento,9192,310.68,15.86,2341.52
DESC_ESPECIALIDADE,RADIOTERAPIA,2,14995.0,14995.0,0.0
DESC_ESPECIALIDADE,MEDICO CLINICO,149,2000.62,1030.7,6468.6
DESC_ESPECIALIDADE,MEDICO MASTOLOGISTA,3,802.08,468.75,660.21
DESC_ESPECIALIDADE,MEDICO CIRURGIAO PLASTICO,11,602.82,518.4,554.08
DESC_ESPECIALIDADE,MEDICO CANCEROLOGISTA CIRURGICO,5,591.62,340.48,789.16
DESC_ESPECIALIDADE,MEDICO GINECOLOGISTA E OBSTETRA,19,527.33,384.0,449.17
internado_f,False,9197,310.7,15.88,2340.89
uti_f,False,9197,310.7,15.88,2340.89
grupo_edad,<40,201,1156.44,22.62,6573.02
grupo_edad,70+,747,286.26,22.74,839.89
grupo_edad,40-49,1129,213.29,7.1,945.66
grupo_edad,60-69,421,207.72,13.12,730.59
grupo_edad,50-59,3149,136.6,16.36,820.7
SEXO_BENEFICIARIO,M,9,1808.03,595.2,2878.57
SEXO_BENEFICIARIO,F,8062,334.8,17.69,2490.4
UF_CNES_PREST_HOSPITALAR,RJ,629,1929.75,89.5,7870.88
UF_CNES_PREST_HOSPITALAR,PR,43,991.97,356.93,1641.36
UF_CNES_PREST_HOSPITALAR,MG,76,906.44,66.4,1770.02
UF_CNES_PREST_HOSPITALAR,GO,48,245.43,15.62,605.16
UF_CNES_PREST_HOSPITALAR,SP,5119,220.56,13.48,1268.37
UF_CNES_PREST_HOSPITALAR,PE,197,152.24,0.01,1507.01
