variable,importancia
n_cids,0.7112261009468096
uf,0.6404864624489502
sexo,0.3167636694407355
duracion_seguimiento_dias,0.07149305083995441
costo_max,0.06313222893110891
proced_por_mes,0.0457599137534038
edad,0.04048554160644656
costo_promedio,0.03589063907268478
edad_primera_utilizacion,0.03584513842166626
dur_meses,0.03355928138478645
costo_total,0.02661371774190237
n_especialidades_distintas,0.02435692366383464
n_utilizaciones,0.017250874169034248
n_registros,0.015615696756415992
n_procedimientos,0.014494929826502573
util_por_mes,0.00623036079114907
tipo_benef,0.005553418626644035
n_diag_mama_total,0.0014013252439389668
tiene_mamografia,0.0005178478551937816
n_usg_mamas,0.00041143646770420706
n_mamografias,0.0003210744353426942
conflicto_sexo,0.0
uso_uti,0.0
n_internaciones,0.0
alguna_internacion,0.0
n_biopsias,0.0
tiene_biopsia,0.0
n_patologias,-0.00036468162447528816
