iter	Passed	Remaining
0	19	5721
1	38	5780
2	56	5586
3	76	5644
4	97	5750
5	117	5761
6	137	5740
7	155	5670
8	176	5696
9	194	5629
10	211	5558
11	226	5442
12	248	5491
13	266	5434
14	285	5430
15	304	5398
16	323	5378
17	342	5359
18	360	5328
19	376	5276
20	394	5243
21	410	5192
22	427	5150
23	445	5118
24	463	5094
25	482	5084
26	500	5064
27	520	5052
28	536	5017
29	554	4991
30	572	4965
31	589	4934
32	606	4906
33	623	4878
34	640	4851
35	659	4835
36	675	4803
37	692	4772
38	711	4763
39	727	4727
40	743	4696
41	759	4664
42	773	4624
43	792	4611
44	805	4565
45	821	4537
46	838	4515
47	855	4493
48	872	4466
49	892	4463
50	910	4445
51	926	4418
52	945	4407
53	965	4398
54	985	4391
55	1003	4373
56	1017	4337
57	1031	4302
58	1044	4266
59	1057	4231
60	1076	4216
61	1093	4196
62	1110	4179
63	1124	4145
64	1137	4111
65	1150	4079
66	1163	4044
67	1179	4023
68	1195	4001
69	1209	3974
70	1224	3949
71	1243	3937
72	1259	3917
73	1277	3900
74	1293	3881
75	1308	3855
76	1323	3832
77	1335	3802
78	1349	3774
79	1363	3748
80	1376	3722
81	1391	3699
82	1404	3672
83	1418	3646
84	1434	3628
85	1448	3603
86	1461	3577
87	1474	3553
88	1488	3529
89	1503	3508
90	1516	3482
91	1529	3458
92	1542	3433
93	1555	3409
94	1570	3389
95	1584	3366
96	1598	3345
97	1611	3322
98	1625	3300
99	1638	3277
100	1653	3257
101	1667	3237
102	1681	3216
103	1695	3195
104	1709	3175
105	1723	3155
106	1737	3133
107	1750	3112
108	1764	3092
109	1777	3071
110	1790	3049
111	1804	3028
112	1818	3009
113	1831	2988
114	1845	2969
115	1860	2950
116	1873	2931
117	1887	2911
118	1902	2893
119	1915	2873
120	1929	2854
121	1943	2835
122	1957	2816
123	1970	2797
124	1984	2778
125	1999	2761
126	2012	2741
127	2027	2724
128	2042	2706
129	2056	2689
130	2071	2672
131	2086	2655
132	2100	2637
133	2113	2618
134	2127	2600
135	2141	2581
136	2155	2564
137	2168	2545
138	2184	2529
139	2198	2512
140	2213	2495
141	2230	2481
142	2244	2463
143	2259	2447
144	2274	2431
145	2290	2416
146	2308	2403
147	2326	2389
148	2341	2372
149	2356	2356
150	2371	2340
151	2387	2324
152	2403	2309
153	2417	2292
154	2430	2273
155	2446	2258
156	2459	2239
157	2474	2223
158	2488	2207
159	2502	2189
160	2516	2173
161	2532	2156
162	2546	2139
163	2559	2122
164	2574	2106
165	2587	2088
166	2600	2071
167	2615	2054
168	2627	2036
169	2644	2022
170	2659	2006
171	2674	1990
172	2687	1973
173	2701	1956
174	2715	1939
175	2728	1922
176	2744	1907
177	2759	1891
178	2773	1874
179	2786	1857
180	2800	1841
181	2814	1824
182	2828	1808
183	2841	1791
184	2854	1774
185	2870	1759
186	2884	1742
187	2898	1726
188	2913	1710
189	2926	1694
190	2940	1678
191	2955	1662
192	2970	1646
193	2983	1630
194	2998	1614
195	3012	1598
196	3025	1582
197	3040	1566
198	3054	1550
199	3069	1534
200	3082	1518
201	3096	1502
202	3111	1486
203	3124	1470
204	3138	1454
205	3152	1438
206	3164	1421
207	3178	1405
208	3191	1389
209	3209	1375
210	3224	1360
211	3240	1344
212	3256	1330
213	3272	1315
214	3287	1299
215	3301	1284
216	3318	1269
217	3334	1254
218	3347	1238
219	3361	1222
220	3375	1206
221	3388	1190
222	3403	1175
223	3419	1160
224	3433	1144
225	3450	1129
226	3466	1114
227	3481	1099
228	3497	1084
229	3513	1069
230	3528	1054
231	3544	1038
232	3556	1022
233	3571	1007
234	3586	991
235	3599	976
236	3613	960
237	3627	945
238	3642	929
239	3656	914
240	3669	898
241	3683	882
242	3696	867
243	3710	851
244	3723	835
245	3736	820
246	3750	804
247	3764	789
248	3778	773
249	3793	758
250	3807	743
251	3820	727
252	3835	712
253	3850	697
254	3864	682
255	3879	666
256	3892	651
257	3906	635
258	3919	620
259	3933	605
260	3948	589
261	3963	574
262	3975	559
263	3989	544
264	4003	528
265	4016	513
266	4029	498
267	4045	483
268	4059	467
269	4072	452
270	4086	437
271	4100	422
272	4114	406
273	4129	391
274	4142	376
275	4156	361
276	4170	346
277	4184	331
278	4199	316
279	4216	301
280	4235	286
281	4250	271
282	4265	256
283	4279	241
284	4293	225
285	4307	210
286	4322	195
287	4336	180
288	4351	165
289	4363	150
290	4376	135
291	4389	120
292	4403	105
293	4417	90
294	4431	75
295	4447	60
296	4463	45
297	4478	30
298	4492	15
299	4505	0
