"consulta","paper_id","title","topic_label","posicion_tfidf","puntaje_tfidf","posicion_lsa","puntaje_lsa","aparece_tfidf","aparece_lsa","aparece_en_ambos","cambio_posicion"
"cybersecurity intrusion detection",337,"A Novel Hybrid IGL1 Feature Selection Method for High-Performance Intrusion Detection on the UNSW-NB15 Dataset Using Multiple Machine Learning Models","Machine Learning",1,0.239519,2,0.59822,TRUE,TRUE,TRUE,1
"cybersecurity intrusion detection",394,"FedX: Privacy-Preserving Explainable Federated Ensemble Intrusion Detection System for Edge-Enabled Internet of Vehicles","Otros",2,0.228306,3,0.580153,TRUE,TRUE,TRUE,1
"cybersecurity intrusion detection",493,"Enhancing the Artificial Rabbit Optimizer Using Fuzzy Rule Interpolation","Machine Learning",3,0.215126,1,0.603074,TRUE,TRUE,TRUE,-2
"cybersecurity intrusion detection",280,"Labeling Network Intrusion Detection System (NIDS) Rules with MITRE ATT and CK Techniques: Machine Learning vs. Large Language Models","IA Generativa",4,0.187291,NA,NA,TRUE,FALSE,FALSE,NA
"cybersecurity intrusion detection",319,"Neural Network IDS/IPS Intrusion Detection and Prevention System with Adaptive Online Training to Improve Corporate Network Cybersecurity, Evidence Recording, and Interaction with Law Enforcement Agencies","Machine Learning",5,0.185726,4,0.519135,TRUE,TRUE,TRUE,-1
"cybersecurity intrusion detection",480,"A Comparative Study of Federated Learning and Amino Acid Encoding with IoT Malware Detection as a Case Study","Machine Learning",NA,NA,5,0.493913,FALSE,TRUE,FALSE,NA
"generative artificial intelligence and large language models",382,"Generative AI and Large Language Models","IA Generativa",1,0.473562,1,0.863369,TRUE,TRUE,TRUE,0
"generative artificial intelligence and large language models",174,"A Meta-Survey of Generative AI in Education: Trends, Challenges, and Research Directions","IA Generativa",2,0.287761,2,0.566751,TRUE,TRUE,TRUE,0
"generative artificial intelligence and large language models",212,"The Use of Large Language Models in Ophthalmology: A Scoping Review on Current Use-Cases and Considerations for Future Works in This Field","IA Generativa",3,0.189085,3,0.501428,TRUE,TRUE,TRUE,0
"generative artificial intelligence and large language models",343,"Generative AI as a General-Purpose Technology: Foundations, Applications, and Labor Market Implications Through 2030","IA Generativa",4,0.165997,4,0.462888,TRUE,TRUE,TRUE,0
"generative artificial intelligence and large language models",250,"Exploration of Generative Neural Networks for Police Facial Sketches","IA Generativa",5,0.161498,5,0.407333,TRUE,TRUE,TRUE,0
"machine learning for disease diagnosis",445,"Integrative Machine Learning Framework for Epigenetic Biomarker Discovery and Disease Severity Prediction in Childhood Atopic Dermatitis","Machine Learning",1,0.201419,2,0.539588,TRUE,TRUE,TRUE,1
"machine learning for disease diagnosis",324,"Design of an Efficient Model for Psychological Disease Analysis and Prediction Using Machine Learning and Genomic Data Samples","Machine Learning",2,0.200134,1,0.57191,TRUE,TRUE,TRUE,-1
"machine learning for disease diagnosis",28,"Attention-Driven Deep Learning for News-Based Prediction of Disease Outbreaks","Machine Learning",3,0.18641,3,0.427313,TRUE,TRUE,TRUE,0
