consulta,estrategia,posicion,paper_id,title,topic_label,puntaje,relevante,observacion
cybersecurity intrusion detection,LSA,1,493,Enhancing the Artificial Rabbit Optimizer Using Fuzzy Rule Interpolation,Machine Learning,0.603074,No,El artículo se centra en optimización mediante lógica difusa y no aborda directamente la detección de intrusiones.
cybersecurity intrusion detection,LSA,2,337,A Novel Hybrid IGL1 Feature Selection Method for High-Performance Intrusion Detection on the UNSW-NB15 Dataset Using Multiple Machine Learning Models,Machine Learning,0.59822,Si,Aborda directamente la detección de intrusiones mediante selección de características y modelos de aprendizaje automático.
cybersecurity intrusion detection,LSA,3,394,FedX: Privacy-Preserving Explainable Federated Ensemble Intrusion Detection System for Edge-Enabled Internet of Vehicles,Otros,0.580153,Si,Presenta un sistema explicable de detección de intrusiones para un entorno de Internet de Vehículos.
cybersecurity intrusion detection,LSA,4,319,"Neural Network IDS/IPS Intrusion Detection and Prevention System with Adaptive Online Training to Improve Corporate Network Cybersecurity, Evidence Recording, and Interaction with Law Enforcement Agencies",Machine Learning,0.519135,Si,Se enfoca directamente en la detección y prevención de intrusiones en redes corporativas.
cybersecurity intrusion detection,LSA,5,480,A Comparative Study of Federated Learning and Amino Acid Encoding with IoT Malware Detection as a Case Study,Machine Learning,0.493913,Si,"Estudia la detección de malware en IoT, un problema estrechamente relacionado con la ciberseguridad."
cybersecurity intrusion detection,TF-IDF,1,337,A Novel Hybrid IGL1 Feature Selection Method for High-Performance Intrusion Detection on the UNSW-NB15 Dataset Using Multiple Machine Learning Models,Machine Learning,0.239519,Si,Aborda directamente la detección de intrusiones mediante modelos de aprendizaje automático.
cybersecurity intrusion detection,TF-IDF,2,394,FedX: Privacy-Preserving Explainable Federated Ensemble Intrusion Detection System for Edge-Enabled Internet of Vehicles,Otros,0.228306,Si,Presenta un sistema de detección de intrusiones para entornos vehiculares conectados.
cybersecurity intrusion detection,TF-IDF,3,493,Enhancing the Artificial Rabbit Optimizer Using Fuzzy Rule Interpolation,Machine Learning,0.215126,No,"El artículo trata optimización y lógica difusa, sin una relación explícita con la detección de intrusiones."
cybersecurity intrusion detection,TF-IDF,4,280,Labeling Network Intrusion Detection System (NIDS) Rules with MITRE ATT and CK Techniques: Machine Learning vs. Large Language Models,IA Generativa,0.187291,Si,Analiza reglas de sistemas de detección de intrusiones con aprendizaje automático y modelos de lenguaje.
cybersecurity intrusion detection,TF-IDF,5,319,"Neural Network IDS/IPS Intrusion Detection and Prevention System with Adaptive Online Training to Improve Corporate Network Cybersecurity, Evidence Recording, and Interaction with Law Enforcement Agencies",Machine Learning,0.185726,Si,Se centra directamente en la detección y prevención de intrusiones.
