"consulta","posicion","paper_id","title","authors","publication_date","topic_label","doi","enlace_doi","puntaje","fragmento","citations","estrategia"
"generative artificial intelligence and large language models",1,382,"Generative AI and Large Language Models","Fabrizio Marozzo; Riccardo Cantini",2026-04-21,"IA Generativa","10.3390/bdcc10040127","https://doi.org/10.3390/bdcc10040127",0.863369,"In recent years, generative artificial intelligence and, in particular, large language models (LLMs) have rapidly transformed the landscape of data analysis, knowledge extraction, content generation, and intelligent decision support [...]",0,"LSA con 200 componentes + similitud coseno"
"generative artificial intelligence and large language models",2,174,"A Meta-Survey of Generative AI in Education: Trends, Challenges, and Research Directions","Sirine Bouguettaya; Francesco Pupo; Min Chen; Giancarlo Fortino",2025-09-16,"IA Generativa","10.3390/bdcc9090237","https://doi.org/10.3390/bdcc9090237",0.566751,"...ing methods to computer-tool-based education, and now toward the integration of Generative Artificial Intelligence. While classical methods offer structured and standardized learning, they often do not fully address individual learner needs and accessibility. The rise of digital t...",6,"LSA con 200 componentes + similitud coseno"
"generative artificial intelligence and large language models",3,212,"The Use of Large Language Models in Ophthalmology: A Scoping Review on Current Use-Cases and Considerations for Future Works in This Field","Ye King Clarence See; Khai Shin Alva Lim; Wei Yung Au; Si Yin Charlene Chia; Xiuyi Fan; Zhenghao Kelvin Li",2025-06-06,"IA Generativa","10.3390/bdcc9060151","https://doi.org/10.3390/bdcc9060151",0.501428,"The advancement of generative artificial intelligence (AI) has resulted in its use permeating many areas of life. Amidst this eruption of scientific output, a wide range of research regarding the usage of Large Language Models (LLMs) in ophthalmology has emerged. In this study, we...",3,"LSA con 200 componentes + similitud coseno"
"generative artificial intelligence and large language models",4,343,"Generative AI as a General-Purpose Technology: Foundations, Applications, and Labor Market Implications Through 2030","Maikel Leon",2026-02-27,"IA Generativa","10.3390/bdcc10030069","https://doi.org/10.3390/bdcc10030069",0.462888,"Generative Artificial Intelligence (AI) has transitioned from a research milestone to a general-purpose technology with wide-ranging implications for organizations, labor markets, and information systems. Thanks to improvements in deep learning, generative adversarial networks (GA...",1,"LSA con 200 componentes + similitud coseno"
"generative artificial intelligence and large language models",5,250,"Exploration of Generative Neural Networks for Police Facial Sketches","Nerea Sádaba-Campo; Hilario Gómez-Moreno",2025-02-14,"IA Generativa","10.3390/bdcc9020042","https://doi.org/10.3390/bdcc9020042",0.407333,"This article addresses the impact of generative artificial intelligence on the creation of composite sketches for police investigations. The automation of this task, traditionally performed through artistic methods or image composition, has become a challenge that can be tackled w...",2,"LSA con 200 componentes + similitud coseno"
"machine learning for disease diagnosis",1,324,"Design of an Efficient Model for Psychological Disease Analysis and Prediction Using Machine Learning and Genomic Data Samples","Alparthi Kumuda; Saroj Kumar Panigrahy",2025-02-20,"Machine Learning","10.3390/bdcc9030049","https://doi.org/10.3390/bdcc9030049",0.57191,"...icity deficiencies. Therefore, this study developed the Psychological Disorders Machine Learning Genomic (PDMLG) model as an amalgamation of genetic algorithms and machine learning techniques in a predictive analysis model using genomic data samples. The two central components of ...",2,"LSA con 200 componentes + similitud coseno"
"machine learning for disease diagnosis",2,445,"Integrative Machine Learning Framework for Epigenetic Biomarker Discovery and Disease Severity Prediction in Childhood Atopic Dermatitis","Ding-Wei Chen; Yun-Nan Chang",2026-03-24,"Machine Learning","10.3390/bdcc10040101","https://doi.org/10.3390/bdcc10040101",0.539588,"...in disorder that is significantly contributed to by epigenetics. We developed a machine learning-based framework to identify DNA methylation biomarkers associated with AD classification and severity. Genome-wide methylation data from peripheral blood were processed using four feat...",0,"LSA con 200 componentes + similitud coseno"
"machine learning for disease diagnosis",3,28,"Attention-Driven Deep Learning for News-Based Prediction of Disease Outbreaks","Avneet Singh Gautam; Zahid Raza; Maria Lapina; Mikhail Babenko",2025-11-14,"Machine Learning","10.3390/bdcc9110291","https://doi.org/10.3390/bdcc9110291",0.427313,"...omain independence in identifying potential outbreaks. To facilitate supervised learning, spaCy was employed to annotate the dataset, enabling the classification of articles as either related or unrelated to disease outbreaks. LSTM, Bi-LSTM, and Bi-LSTM with a Multi-Head Attention...",1,"LSA con 200 componentes + similitud coseno"
"machine learning for disease diagnosis",4,192,"Gait-Based Parkinson’s Disease Detection Using Recurrent Neural Networks for Wearable Systems","Carlos Rangel-Cascajosa; Francisco Luna-Perejón; Saturnino Vicente-Diaz; Manuel Domínguez-Morales",2025-07-07,"IA Generativa","10.3390/bdcc9070183","https://doi.org/10.3390/bdcc9070183",0.40608,"...support early detection and facilitate timely intervention. The ability of Deep Learning algorithms to identify complex features from clinical data has proven to be a promising approach in various medical domains as support tools. In this study, we present an investigation of diff...",4,"LSA con 200 componentes + similitud coseno"
"machine learning for disease diagnosis",5,27,"Efficient Data Augmentation Methods for Crop Disease Recognition in Sustainable Environmental Systems","Saebom Lee; Sokjoon Lee",2025-01-08,"Machine Learning","10.3390/bdcc9010008","https://doi.org/10.3390/bdcc9010008",0.404614,"...ropose an efficient data augmentation method to enhance the performance of deep learning models for crop disease recognition. By constructing a new large-scale dataset comprising 24 different classes, including both fruit and leaf samples, we intend to handle a variety of disease ...",12,"LSA con 200 componentes + similitud coseno"
