"indicador","valor"
"Método","Truncated SVD para LSA"
"Tipo de recuperación","Latente o semántica aproximada"
"Dimensión original","507 x 9160"
"Dimensión reducida","507 x 200"
"Componentes","200"
"Información conservada","56.18%"
"Memoria TF-IDF en MB","1.4697"
"Memoria LSA en MB","0.7738"
"Reducción aproximada de memoria","47.35%"
"Procedimiento de consulta","Consulta a TF-IDF y luego proyectada con la matriz V del mismo modelo SVD"
"Mecanismo de ranking","Similitud coseno en el espacio reducido"
