"indicador","valor"
"Número de documentos","507"
"Campos textuales","Título y resumen"
"Tipo de representación","TF-IDF"
"Tipo de recuperación","Léxica"
"Tokenización","Palabras"
"Stopwords","194 términos en inglés"
"N-gramas","Unigramas y bigramas"
"Frecuencia mínima","2 apariciones en el corpus"
"Proporción documental mínima","0.002"
"Proporción documental máxima","0.95"
"Vocabulario inicial","69282"
"Vocabulario final","9160"
"Filas de la matriz","507"
"Columnas de la matriz","9160"
"Valores no cero","65679"
"Porcentaje de ceros","98.5858%"
"Memoria de la matriz en MB","1.4697"
"Formato de la matriz","dgCMatrix"
