journal_name,title,publication_date,year,doi,url,abstract,authors_raw,n_authors,citations,downloads,n_references,topic_label
Big Data and Cognitive Computing,Cognitive Networks and Text Analysis Identify Anxiety as a Key Dimension of Distress in Genuine Suicide Notes,2025-6-27,2025,10.3390/bdcc9070171,https://doi.org/10.3390/bdcc9070171,"<jats:p>Understanding the mindset of people who die by suicide remains a key research challenge. We map conceptual and emotional word–word co-occurrences in 139 genuine suicide notes and in reference word lists, an Emotional Recall Task, from 200 individuals grouped by high/low depression, anxiety, and stress levels on DASS-21. Positive words cover most of the suicide notes’ vocabulary; however, co-occurrences in suicide notes overlap mostly with those produced by individuals with low anxiety (Jaccard index of 0.42 for valence and 0.38 for arousal). We introduce a “words not said” method: It removes every word that corpus A shares with a comparison corpus B and then checks the emotions of “residual” words in A−B. With no leftover emotions, A and B are similar in expressing the same emotions. Simulations indicate this method can classify high/low levels of depression, anxiety and stress with 80% accuracy in a balanced task. After subtracting suicide note words, only the high-anxiety corpus displays no significant residual emotions. Our findings thus pin anxiety as a key latent feature of suicidal psychology and offer an interpretable language-based marker for suicide risk detection.</jats:p>",Massimo Stella; Trevor James Swanson; Andreia Sofia Teixeira; Brianne N. Richson; Ying Li; Thomas T. Hills; Kelsie T. Forbush; David Watson,8,1,NA,57,Otros
Big Data and Cognitive Computing,QiGSAN: A Novel Probability-Informed Approach for Small Object Segmentation in the Case of Limited Image Datasets,2025-9-18,2025,10.3390/bdcc9090239,https://doi.org/10.3390/bdcc9090239,"<jats:p>The paper presents a novel probability-informed approach to improving the accuracy of small object semantic segmentation in high-resolution imagery datasets with imbalanced classes and a limited volume of samples. Small objects imply having a small pixel footprint on the input image, for example, ships in the ocean. Informing in this context means using mathematical models to represent data in the layers of deep neural networks. Thus, the ensemble Quadtree-informed Graph Self-Attention Networks (QiGSANs) are proposed. New architectural blocks, informed by types of Markov random fields such as quadtrees, have been introduced to capture the interconnections between features in images at different spatial resolutions during the graph convolution of superpixel subregions. It has been analytically proven that quadtree-informed graph convolutional neural networks, a part of QiGSAN, tend to achieve faster loss reduction compared to convolutional architectures. This justifies the effectiveness of probability-informed modifications based on quadtrees. To empirically demonstrate the processing of real small data with imbalanced object classes using QiGSAN, two open datasets of synthetic aperture radar (SAR) imagery (up to 0.5 m per pixel) are used: the High Resolution SAR Images Dataset (HRSID) and the SAR Ship Detection Dataset (SSDD). The results of QiGSAN are compared to those of the transformers SegFormer and LWGANet, which constitute a new state-of-the-art model for UAV (Unmanned Aerial Vehicles) and SAR image processing. They are also compared to convolutional neural networks and several ensemble implementations using other graph neural networks. QiGSAN significantly increases the F1-score values by up to 63.93%, 48.57%, and 9.84% compared to transformers, convolutional neural networks, and other ensemble architectures, respectively. QiGSAN outperformed the base segmentors with the mIOU (mean intersection-over-union) metric too: the highest increase was 35.79%. Therefore, our approach to knowledge extraction using mathematical models allows us to significantly improve modern computer vision techniques for imbalanced data.</jats:p>",Andrey Gorshenin; Anastasia Dostovalova,2,0,NA,74,Machine Learning
Big Data and Cognitive Computing,Fast Adaptive Approximate Nearest Neighbor Search with Cluster-Shaped Indices,2025-10-9,2025,10.3390/bdcc9100254,https://doi.org/10.3390/bdcc9100254,"<jats:p>In this study, we propose a novel adaptive algorithm for approximate nearest neighbor (ANN) search, based on the inverted file (IVF) index (cluster-based index) and online query complexity classification. The concept of the classical IVF search implemented in vector databases is as follows: all data vectors are divided into clusters, and each cluster is assigned to its central point (centroid). For an ANN search query, the closest centroids are determined, and the further search continues in the corresponding clusters only. In our study, the complexity of each query is assessed and classified with the use of results of an initial trial search in a limited number of clusters. Based on this classification, the algorithm dynamically determines the presumably sufficient number of clusters which is sufficient to achieve the desired Recall value, thereby improving vector search efficiency. Our experiments show that such a complexity classifier can be built with the use of a single feature, and we propose an algorithm for its training. We studied the impact of various features on the query processing and discovered a strong dependence on the number of clusters that contains at least one nearest neighbor (productive clusters). The new algorithm is designed to be implemented on top of the IVF search which is a well-known algorithm for approximate nearest neighbor search and uses existing IVF indexes that are widely used in the most popular vector database management systems, such as pgvector. The results obtained demonstrate a significant increase in the speed of nearest neighbor search (up to 35%) while maintaining a high Recall rate of 0.99. Additionally, the search algorithm is deterministic, which might be extremely important for tasks where the reproducibility of results plays a crucial role. The developed algorithm has been tested on datasets of varying sizes up to one billion data vectors.</jats:p>",Vladimir Kazakovtsev; Mikhail Plekhanov; Alexandr Naumchev; Guzel Shkaberina; Igor Masich; Lyudmila Egorova; Alena Stupina; Aleksey Popov; Lev Kazakovtsev,9,0,NA,89,Machine Learning
Big Data and Cognitive Computing,Discovering Key Successful Factors of Mobile Advertisements Using Feature Selection Approaches,2025-5-5,2025,10.3390/bdcc9050119,https://doi.org/10.3390/bdcc9050119,"<jats:p>Programmatic buying has attracted growing interest from manufacturers and has become a driving force behind the growth of digital advertising. Among various formats, mobile advertisements (ads) have emerged as a preferred choice over traditional ones due to their advanced automation, adaptability, and cost-effectiveness. Despite their increasing adoption, academic research on mobile ads remains relatively limited. Unlike conventional statistical analysis techniques, the proposed feature selection methods eliminate the need for assumptions related to data properties such as independence, normal distribution, and constant variance in regression. Additionally, feature selection techniques have recently gained traction in big data analysis, addressing the limitations inherent in traditional statistical approaches. Consequently, this study aims to determine the key success factors of mobile ads in fostering customer loyalty, offering advertisers valuable insights for optimizing mobile ad design. This study begins by identifying potential factors influencing mobile advertising effectiveness. Then, it applies Support Vector Machine Recursive Feature Elimination (SVM-RFE), correlation-based selection, and consistency-based selection methods to determine the key drivers of customer retention. The findings reveal that “Price” and “Preference” are the most significant contributors to enhancing repurchase intention. Moreover, factors such as “Language”, “Perceived Usefulness”, “Interest”, “Mobile Device”, and “Informativeness” are also essential in maximizing the effectiveness of mobile advertising.</jats:p>",Kai-Fu Yang; Venkateswarlu Nalluri; Chun-Cheng Liu; Long-Sheng Chen,4,0,NA,65,Machine Learning
Big Data and Cognitive Computing,A Data Mining Approach to Identify NBA Player Quarter-by-Quarter Performance Patterns,2025-3-25,2025,10.3390/bdcc9040074,https://doi.org/10.3390/bdcc9040074,"<jats:p>Sports analytics is a fast-evolving domain using advanced data science methods to find useful insights. This study explores the way NBA player performance metrics evolve from quarter to quarter and affect game outcomes. Using Association Rule Mining, we identify key offensive, defensive, and overall impact metrics that influence success in both regular-season and playoff contexts. Defensive metrics become more critical in late-game situations, while offensive efficiency is paramount in the playoffs. Ball handling peaks in the second quarter, affecting early momentum, while overall impact metrics, such as Net Rating and Player Impact Estimate, consistently correlate with winning. In the collected dataset we performed preprocessing, applying advanced anomaly detection and discretization techniques. By segmenting performance into five categories—Offense, Defense, Ball Handling, Overall Impact, and Tempo—we uncovered strategic insights for teams, coaches, and analysts. Results emphasize the importance of managing player fatigue, optimizing lineups, and adjusting strategies based on quarter-specific trends. The analysis provides actionable recommendations for coaching decisions, roster management, and player evaluation. Future work can extend this approach to other leagues and incorporate additional contextual factors to refine evaluation and predictive models.</jats:p>",Dimitrios Iatropoulos; Vangelis Sarlis; Christos Tjortjis,3,16,NA,27,Otros
Big Data and Cognitive Computing,Reimagining Robots: The Future of Cybernetic Organisms with Energy-Efficient Designs,2025-4-17,2025,10.3390/bdcc9040104,https://doi.org/10.3390/bdcc9040104,"<jats:p>The development of cybernetic organisms—autonomous systems capable of self-regulation and dynamic environmental interaction—requires innovations in both energy efficiency and computational adaptability. This study explores the integration of bio-inspired liquid flow batteries and neuromorphic computing architectures to enable real-time learning and power optimization in autonomous robotic systems. Liquid-based energy storage systems, modeled after vascular networks, offer distributed energy management, reducing power bottlenecks and improving resilience in long-duration operations. Complementing this, neuromorphic computing architectures, including memristor-based processors and spiking neural networks (SNNs), enhance computational efficiency while minimizing energy consumption. By integrating these adaptive energy and computing systems, robots can dynamically allocate power and processing resources based on real-time demands, bridging the gap between biological and artificial intelligence. This study evaluates the feasibility of integrating these technologies into robotic platforms, assessing power demands, storage capacity, and operational scalability. While flow batteries and neuromorphic computing show promise in reducing latency and energy constraints, challenges remain in electrolyte stability, computational framework standardization, and real-world implementation. Future research must focus on hybrid computing architectures, self-regulating energy distribution, and material optimizations to enhance the adaptability of cybernetic organisms. By addressing these challenges, this study outlines a roadmap for reimagining robotics through cybernetic principles, paving the way for applications in healthcare, industrial automation, space exploration, and adaptive autonomous systems in dynamic environments.</jats:p>",Stefan Stavrev,1,1,NA,37,Machine Learning
Big Data and Cognitive Computing,Dependency-Aware Entity–Attribute Relationship Learning for Text-Based Person Search,2025-7-7,2025,10.3390/bdcc9070182,https://doi.org/10.3390/bdcc9070182,"<jats:p>Text-based person search (TPS), a critical technology for security and surveillance, aims to retrieve target individuals from image galleries using textual descriptions. The existing methods face two challenges: (1) ambiguous attribute–noun association (AANA), where syntactic ambiguities lead to incorrect associations between attributes and the intended nouns; and (2) textual noise and relevance imbalance (TNRI), where irrelevant or non-discriminative tokens (e.g., ‘wearing’) reduce the saliency of critical visual attributes in the textual description. To address these aspects, we propose the dependency-aware entity–attribute alignment network (DEAAN), a novel framework that explicitly tackles AANA through dependency-guided attention and TNRI via adaptive token filtering. The DEAAN introduces two modules: (1) dependency-assisted implicit reasoning (DAIR) to resolve AANA through syntactic parsing, and (2) relevance-adaptive token selection (RATS) to suppress TNRI by learning token saliency. Experiments on CUHK-PEDES, ICFG-PEDES, and RSTPReid demonstrate state-of-the-art performance, with the DEAAN achieving a Rank-1 accuracy of 76.71% and an mAP of 69.07% on CUHK-PEDES, surpassing RDE by 0.77% in Rank-1 and 1.51% in mAP. Ablation studies reveal that DAIR and RATS individually improve Rank-1 by 2.54% and 3.42%, while their combination elevates the performance by 6.35%, validating their synergy. This work bridges structured linguistic analysis with adaptive feature selection, demonstrating practical robustness in surveillance-oriented TPS scenarios.</jats:p>",Wei Xia; Wenguang Gan; Xinpan Yuan,3,1,NA,52,Otros
Big Data and Cognitive Computing,A Web-Based Platform for Hand Rehabilitation Assessment,2025-2-24,2025,10.3390/bdcc9030052,https://doi.org/10.3390/bdcc9030052,"<jats:p>Hand impairment affects millions of people. There are multiple factors that cause deficits, varying from physical injuries to neurological disorders. Upper-limb patients face significant difficulties in daily life. Rehabilitation aims at supporting them to regain functionality and increasing their independence and quality of life. Assessment is key to therapy, as it offers an evaluation of the condition of patients, leading to suitable treatments. Unfortunately, rehabilitation relies on clinical resources, making it expensive and time-consuming. Digital technology can provide solutions that make treatments more flexible and affordable. With the use of computer vision, we created an online platform that includes several exercises and serious games, based on movements and gestures performed in real-world treatments. Difficulty levels vary, and therapists can monitor these procedures remotely, while performance can be stored and tracked over time, identifying improvement. There is no need for any special equipment, as the platform can be accessed like a common website and all its applications require only a simple computer camera and stable Internet connection. In this article, we present our research approach, we analyze the development of the platform, and we provide a brief demonstration of its use in practice. Furthermore, we address some technical challenges and we share the results derived from preliminary test phases, concluding by outlining future plans.</jats:p>",Dimitrios N. Soumis; Nikolaos D. Tselikas,2,3,NA,35,Otros
Big Data and Cognitive Computing,On Continually Tracing Origins of LLM-Generated Text and Its Application in Detecting Cheating in Student Coursework,2025-2-20,2025,10.3390/bdcc9030050,https://doi.org/10.3390/bdcc9030050,"<jats:p>Large language models (LLMs) have demonstrated remarkable capabilities in text generation, which also raise numerous concerns about their potential misuse, especially in educational exercises and academic writing. Accurately identifying and tracing the origins of LLM-generated content is crucial for accountability and transparency, ensuring the responsible use of LLMs in educational and academic environments. Previous methods utilize binary classifiers to discriminate whether a piece of text was written by a human or generated by a specific LLM or employ multi-class classifiers to trace the source LLM from a fixed set. These methods, however, are restricted to one or several pre-specified LLMs and cannot generalize to new LLMs, which are continually emerging. This study formulates source LLM tracing in a class-incremental learning (CIL) fashion, where new LLMs continually emerge, and a model incrementally learns to identify new LLMs without forgetting old ones. A training-free continual learning method is further devised for the task, the idea of which is to continually extract prototypes for emerging LLMs, using a frozen encoder, and then to perform origin tracing via prototype matching after a delicate decorrelation process. For evaluation, two datasets are constructed, one in English and one in Chinese. These datasets simulate a scenario where six LLMs emerge over time and are used to generate student essays, and an LLM detector has to incrementally expand its recognition scope as new LLMs appear. Experimental results show that the proposed method achieves an average accuracy of 97.04% on the English dataset and 91.23% on the Chinese dataset. These results validate the feasibility of continual origin tracing of LLM-generated text and verify its effectiveness in detecting cheating in student coursework.</jats:p>",Quan Wang; Haoran Li,2,7,NA,52,IA Generativa
Big Data and Cognitive Computing,Low-Cost Embedded System Applications for Smart Cities,2025-1-22,2025,10.3390/bdcc9020019,https://doi.org/10.3390/bdcc9020019,"<jats:p>The Internet of Things (IoT) represents a transformative technology that allows interconnected devices to exchange data over the Internet, enabling automation and real-time decision making in a variety of areas. A key aspect of the success of the IoT lies in its integration with low-resource hardware, such as low-cost microprocessors and microcontrollers. These devices, which are affordable and energy efficient, are capable of handling basic tasks such as sensing, processing, and data transmission. Their low cost makes them ideal for IoT applications in low-income communities where the government is often absent. This review aims to present some applications—such as a flood detection system; a monitoring system for analog and digital sensors; an air quality measurement system; a mesh video network for community surveillance; and a real-time fleet management system—that use low-cost hardware such as ESP32, Raspberry Pi, and Arduino, and the MQTT protocol used to implement low-cost monitoring systems applied to improve the quality of life of people in small cities or communities.</jats:p>",Victoria Alejandra Salazar Herrera; Hugo Puertas de Araújo; César Giacomini Penteado; Mario Gazziro; João Paulo Carmo,5,4,NA,18,Otros
