CID,numero_registros,beneficiarios_unicos,porcentaje_beneficiarios
,456440,54183,77.922
F840,6588,432,0.621
F84,3667,428,0.616
Z001,762,404,0.581
F41,988,354,0.509
C50,1505,312,0.449
Z00,4395,292,0.42
N72,722,292,0.42
-,2101,280,0.403
Z00.1,401,267,0.384
N390,16138,248,0.357
I10,1067,243,0.349
M545,3247,232,0.334
M549,1229,218,0.314
R68,994,198,0.285
O820,4618,196,0.282
A09,6059,194,0.279
Z540,2614,173,0.249
J342,4495,166,0.239
Z359,620,166,0.239
A083,652,162,0.233
F80,590,155,0.223
J00,390,149,0.214
Z014,350,143,0.206
Z000,4233,143,0.206
J180,15064,139,0.2
N201,4361,131,0.188
I839,1856,123,0.177
Z00.0,7856,123,0.177
N200,3691,112,0.161
O829,3422,111,0.16
Z988,4805,107,0.154
J353,2434,99,0.142
N39.0,12709,99,0.142
R10,2208,92,0.132
G560,2259,92,0.132
R51,1364,90,0.129
R10.4,5858,83,0.119
C61,1220,82,0.118
K802,2149,80,0.115
O82.,1749,77,0.111
H269,582,75,0.108
J189,11272,75,0.108
M751,2849,73,0.105
I83.9,1142,71,0.102
N47,1629,70,0.101
K800,2958,70,0.101
I64,4950,67,0.096
N202,2693,66,0.095
J069,418,65,0.093
N840,894,62,0.089
Z30,223,61,0.088
K429,1706,60,0.086
A419,9845,58,0.083
R11,965,56,0.081
N20.0,3222,56,0.081
K639,1619,55,0.079
K402,1314,54,0.078
O800,1070,54,0.078
R07,54,54,0.078
J039,250,53,0.076
R100,5052,51,0.073
R104,4681,51,0.073
K359,2301,51,0.073
K409,1570,51,0.073
I200,2650,50,0.072
M779,255,50,0.072
M511,2912,49,0.07
C509,1797,48,0.069
N23,1657,48,0.069
O82.9,830,48,0.069
J34.2,1400,48,0.069
N20.1,3415,48,0.069
H35.3,613,47,0.068
J159,3060,46,0.066
O269,507,45,0.065
S835,1112,45,0.065
M54.2,573,44,0.063
P599,369,44,0.063
M544,1293,44,0.063
R074,2591,43,0.062
A90,244,43,0.062
