variable,coeficiente,odds_ratio
categoricas__estado_mas_frecuente_PA,-10.06302124775432,4.2627062017466666e-05
categoricas__estado_mas_frecuente_PE,-6.846125082698557,0.001063568960240828
categoricas__unidad_hospitalaria_mas_frecuente_UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,-5.761201179809708,0.003147328819168124
categoricas__tipo_beneficiario_AGREGADO,-4.053317016788897,0.017364680070138624
categoricas__especialidad_mas_frecuente_CIRURGIAO / CLINICO,-3.992270573657317,0.01845775680788042
categoricas__especialidad_mas_frecuente_HOSPITAL,-3.8187120108772827,0.02195606185929944
categoricas__sexo_F,-3.306983278285148,0.03662649921498487
categoricas__unidad_hospitalaria_mas_frecuente_PRONTO SOCORRO ESPECIALIZADO,-3.159601051711605,0.042442670133983264
categoricas__estado_mas_frecuente_SC,-3.1061344087635065,0.04477369806365108
categoricas__especialidad_mas_frecuente_ANÁLISES CLÍNICAS DIVERSAS,-2.9607002559337126,0.05178264337045198
categoricas__estado_mas_frecuente_GO,-2.912012427283165,0.054366211659808206
categoricas__unidad_hospitalaria_mas_frecuente_COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE,-2.8808250316120008,0.056088468979835944
categoricas__sexo_M,-2.8609287684710734,0.05721559553923778
categoricas__especialidad_mas_frecuente_FISIOTERAPEUTA GERAL,-2.7140610044464073,0.06626714835958254
categoricas__especialidad_mas_frecuente_MEDICO OFTALMOLOGISTA,-2.543729838579467,0.0785727887513884
categoricas__tipo_beneficiario_CONJUGE,-2.499047821541749,0.08216319541407555
categoricas__estado_mas_frecuente_DF,-2.3015859619804466,0.10009996303112643
categoricas__especialidad_mas_frecuente_MEDICO GINECOLOGISTA E OBSTETRA,-2.1279135795784048,0.11908549724742758
categoricas__especialidad_mas_frecuente_CARDIOLOGIA,-2.088816656698856,0.12383358679486398
categoricas__unidad_hospitalaria_mas_frecuente_CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA,-2.0849086405890342,0.12431847730983968
categoricas__especialidad_mas_frecuente_MEDICO PEDIATRA,-2.021094258533336,0.13251038509744528
categoricas__especialidad_mas_frecuente_CLINICA MÉDICA,-1.9467765989974974,0.142733417902454
categoricas__especialidad_mas_frecuente_CLINICA GERAL,-1.8290518148890083,0.1605657416648454
categoricas__especialidad_mas_frecuente_PSICOLOGO CLINICO,-1.7819730399628466,0.16830574549360058
categoricas__especialidad_mas_frecuente_MEDICO CARDIOLOGISTA,-1.6376989491688627,0.19442691416870628
categoricas__especialidad_mas_frecuente_DERMATOLOGIA,-1.632698190507102,0.19540163137529537
categoricas__especialidad_mas_frecuente_CLÍNICA MÉDICA,-1.5925978681450985,0.20339652742671588
categoricas__tipo_beneficiario_OUTROS,-1.4976585596302,0.2236532182288086
categoricas__estado_mas_frecuente_MS,-1.4834884489574263,0.22684496941083787
categoricas__especialidad_mas_frecuente_MEDICO OTORRINOLARINGOLOGISTA,-1.4773700046748222,0.22823716240148792
categoricas__especialidad_mas_frecuente_MEDICO DERMATOLOGISTA,-1.4542195788133891,0.23358258558568548
categoricas__unidad_hospitalaria_mas_frecuente_TELESSAUDE,-1.3704939523912651,0.2539814738070356
categoricas__tipo_beneficiario_FILHO,-1.359422745352009,0.2568089783508667
categoricas__especialidad_mas_frecuente_CIRURGIA GERAL,-1.3450780032923417,0.26051938569758487
categoricas__especialidad_mas_frecuente_OTORRINOLARINGOLOGIA,-1.2092650789562236,0.2984165114349768
categoricas__estado_mas_frecuente_ES,-1.1191071274217983,0.32657125100182094
categoricas__estado_mas_frecuente_SE,-1.108584074653685,0.33002592247450574
categoricas__especialidad_mas_frecuente_GINECOLOGIA E OBSTETRICIA,-1.0306699080666464,0.35676787881675165
categoricas__especialidad_mas_frecuente_UROLOGIA,-0.9080308009508473,0.4033176553085263
categoricas__especialidad_mas_frecuente_MEDICO CIRURGIAO GERAL,-0.9057016458063023,0.40425813954194495
categoricas__especialidad_mas_frecuente_FONOAUDIOLOGO,-0.8713725827650031,0.4183768980401614
categoricas__especialidad_mas_frecuente_MEDICO EM RADIOLOGIA E DIAGNOSTICO POR IMAGEM,-0.8587043804248982,0.4237106947147778
categoricas__especialidad_mas_frecuente_MEDICO PSIQUIATRA,-0.8452843931165912,0.42943521242441657
categoricas__especialidad_mas_frecuente_MEDICO ENDOCRINOLOGISTA E METABOLOGISTA,-0.8344358753882708,0.43411930975671725
categoricas__especialidad_mas_frecuente_PSICOLOGIA,-0.8121200223183644,0.4439159561940469
categoricas__especialidad_mas_frecuente_MEDICO DE FAMILIA E COMUNIDADE,-0.8102304221253439,0.44475557289066486
categoricas__especialidad_mas_frecuente_NÃO INFORMADA,-0.802838058022077,0.44805555031192357
categoricas__especialidad_mas_frecuente_FISIOTERAPIA,-0.7982704117378365,0.45010679068535586
categoricas__especialidad_mas_frecuente_MEDICO CIRURGIAO DO APARELHO DIGESTIVO,-0.7962498980124584,0.4510171570279543
categoricas__especialidad_mas_frecuente_ANALISES CLINICAS,-0.7954852825850159,0.4513621435784709
categoricas__especialidad_mas_frecuente_ENDOCRINOLOGIA,-0.7855669905747665,0.45586115951620276
categoricas__especialidad_mas_frecuente_PATOLOGIA CLÍNICA / MEDICINA LABORATORIAL,-0.782333073147706,0.45733776318456304
categoricas__sexo_NÃO INFORMADO,-0.7733854987309436,0.46144818859985726
categoricas__especialidad_mas_frecuente_MEDICO UROLOGISTA,-0.7588190018896743,0.46821906644530203
categoricas__especialidad_mas_frecuente_GINECOLOGIA E OBSTETRÍCIA,-0.7323945290511266,0.48075642548885456
categoricas__tipo_beneficiario_IGNORADO,-0.711796793117163,0.49076160770392535
categoricas__estado_mas_frecuente_MA,-0.6952315949723747,0.49895887823534496
categoricas__especialidad_mas_frecuente_MEDICO CIRURGIAO PLASTICO,-0.6615563186786388,0.5160475747211565
categoricas__estado_mas_frecuente_AL,-0.6531665461798656,0.5203953092208456
categoricas__especialidad_mas_frecuente_PSIQUIATRIA,-0.6524284172982081,0.5207795698279402
categoricas__especialidad_mas_frecuente_GASTROENTEROLOGIA,-0.6144310388680312,0.5409485864889609
categoricas__unidad_hospitalaria_mas_frecuente_CENTRO DE IMUNIZACAO,-0.6054911738926951,0.5458062749978094
categoricas__unidad_hospitalaria_mas_frecuente_CENTRAL DE ABASTECIMENTO,-0.5417028697382267,0.581756752447221
categoricas__especialidad_mas_frecuente_TERAPEUTA OCUPACIONAL,-0.5338315201956815,0.5863540328584445
categoricas__estado_mas_frecuente_TO,-0.531575841307876,0.5876781521036197
categoricas__especialidad_mas_frecuente_MÉTODO ABA (ANÁLISE DE COMPORT,-0.5170775176280302,0.5962605651377175
categoricas__especialidad_mas_frecuente_OBSTETRICIA,-0.5063873900626853,0.6026688583496101
categoricas__especialidad_mas_frecuente_MEDICO ALERGISTA E IMUNOLOGISTA,-0.5040179029735167,0.6040985675983952
categoricas__unidad_hospitalaria_mas_frecuente_LABORATORIO DE SAUDE PUBLICA,-0.501284313157351,0.605752184416066
categoricas__especialidad_mas_frecuente_GINECOLOGIA  E OBSTETRICIA,-0.4934844067144192,0.610495469323515
categoricas__estado_mas_frecuente_AM,-0.48893854602600856,0.6132770141455799
categoricas__especialidad_mas_frecuente_CONSULTA EM ORTOPEDIA E TRAUMA,-0.46904838223125267,0.6255973146301397
categoricas__especialidad_mas_frecuente_MEDICO PATOLOGISTA CLINICO/ MEDICINA LABORATORIAL,-0.44665582976371615,0.6397640581351673
categoricas__especialidad_mas_frecuente_NEUROLOGIA,-0.42992330559135544,0.6505589870468609
categoricas__unidad_hospitalaria_mas_frecuente_FARMACIA,-0.4273925278141939,0.6522074923944944
numericas__n_examenes_E,-0.42675676389507505,0.6526222742236273
categoricas__especialidad_mas_frecuente_MEDICO EM CIRURGIA VASCULAR,-0.4254211755305672,0.6534944912713144
categoricas__especialidad_mas_frecuente_ACUPUNTURA,-0.4045898829348349,0.6672504055297639
categoricas__especialidad_mas_frecuente_CIRURGIA DO APARELHO DIGESTIVO,-0.38601962268301315,0.6797571868896458
categoricas__estado_mas_frecuente_PB,-0.3776363342048326,0.6854797408780909
categoricas__especialidad_mas_frecuente_CIRURGIA VASCULAR,-0.3624308015966629,0.695982472888227
categoricas__especialidad_mas_frecuente_CLINICA MEDICA,-0.3554684324721791,0.7008450677160204
categoricas__especialidad_mas_frecuente_MEDICO ACUPUNTURISTA,-0.3543330402348276,0.7016412536716367
categoricas__especialidad_mas_frecuente_ALERGIA E IMUNOLOGIA,-0.34190823975359996,0.7104133894261083
categoricas__especialidad_mas_frecuente_GERIATRIA,-0.3417083358004945,0.710555418066564
categoricas__especialidad_mas_frecuente_ANGIOLOGIA,-0.32799997296596745,0.720363039179619
categoricas__especialidad_mas_frecuente_MEDICO GERIATRA,-0.32273431302216726,0.7241662303480769
categoricas__especialidad_mas_frecuente_GINECOLOGIA,-0.3151958887742523,0.7296459308219787
categoricas__especialidad_mas_frecuente_RADIOLOGIA E DIAG. POR IMAGEM,-0.3103951111912095,0.7331572203664357
categoricas__especialidad_mas_frecuente_FONOAUDIOLOGIA,-0.3097755301496912,0.7336116114321359
categoricas__especialidad_mas_frecuente_ENDOCRINOLOGIA E METABOLOGIA,-0.2985568020819494,0.7418881398623225
categoricas__especialidad_mas_frecuente_PNEUMOLOGIA,-0.28084030794271403,0.7551489171361201
categoricas__especialidad_mas_frecuente_TERAPIAS ESPECÍFICAS,-0.27801108935458324,0.7572884236279207
categoricas__especialidad_mas_frecuente_MEDICINA FÍSICA E REABILITAÇÃO,-0.26877425905403707,0.7643157735410238
categoricas__especialidad_mas_frecuente_NEUROCIRURGIA,-0.2686412287925322,0.7644174574316175
numericas__n_urgencias_P,-0.2663745212562199,0.7661521335022025
categoricas__especialidad_mas_frecuente_CONSULTA EM DERMATOLOGIA,-0.2514259911943468,0.7776910114629209
categoricas__especialidad_mas_frecuente_NEFROLOGIA,-0.23043729671812593,0.7941862315241487
numericas__numero_unidades_hospitalarias,-0.2285699859258157,0.795670609511579
numericas__costo_promedio,-0.223153258939699,0.7999922339373037
categoricas__especialidad_mas_frecuente_MEDICO NEUROLOGISTA,-0.219952142674872,0.8025572052845424
categoricas__especialidad_mas_frecuente_RADIOLOGIA E DIAGNÓSTICO POR IMAGEM,-0.21910935840486176,0.8032338729753302
categoricas__especialidad_mas_frecuente_MEDICO GASTROENTEROLOGISTA,-0.2185419864276018,0.8036897346753906
categoricas__especialidad_mas_frecuente_CONSULTA EM ONCOLOGIA CLINICA,-0.2174292230413788,0.8045845489519698
categoricas__especialidad_mas_frecuente_MÉDICO,-0.213290303452025,0.8079215607509056
numericas__n_otros_O,-0.20338116541784057,0.8159671636784488
categoricas__especialidad_mas_frecuente_MEDICO REUMATOLOGISTA,-0.19842032334147308,0.820025104997837
categoricas__especialidad_mas_frecuente_REUMATOLOGIA,-0.19790989678538676,0.8204437744289935
categoricas__especialidad_mas_frecuente_MEDICO GENERALISTA,-0.19350240997870405,0.8240678502067481
categoricas__especialidad_mas_frecuente_NUTRICIONISTA,-0.186602522069191,0.8297734874955179
categoricas__especialidad_mas_frecuente_CONSULTA EM UROLOGIA,-0.1862929372316676,0.8300304125538246
categoricas__especialidad_mas_frecuente_MEDICO NEUROCIRURGIAO,-0.18419393988265081,0.8317744739391599
categoricas__especialidad_mas_frecuente_MEDICO CIRURGIAO DE CABECA E PESCOCO,-0.18240265628599833,0.8332657531636927
numericas__numero_especialidades,-0.18166171276109605,0.833883384814852
categoricas__estado_mas_frecuente_PI,-0.18122123540952279,0.8342507724667461
categoricas__especialidad_mas_frecuente_ONCOLOGIA CLÍNICA,-0.18110531974521726,0.8343474808041312
categoricas__especialidad_mas_frecuente_PATOLOGIA CLIN./MED.LABORAT.,-0.17728116762440332,0.837544261083541
categoricas__estado_mas_frecuente_AP,-0.17484005069980404,0.8395913020710378
categoricas__especialidad_mas_frecuente_COLPOSCOPIA  COLPOCITOPATOLOGIA,-0.17374662199016605,0.8405098373900133
categoricas__especialidad_mas_frecuente_ONCOLOGIA CLINICA,-0.17292849336539076,0.8411977639152072
categoricas__especialidad_mas_frecuente_MASTOLOGIA,-0.1719944533045341,0.8419838433835142
categoricas__especialidad_mas_frecuente_PATOLOGIA,-0.16274279576938383,0.8498097349668888
categoricas__especialidad_mas_frecuente_ANESTESIOLOGIA,-0.15310139920175958,0.8580427125540051
categoricas__unidad_hospitalaria_mas_frecuente_UNIDADE MOVEL TERRESTRE,-0.15132578528966356,0.8595676185530977
categoricas__especialidad_mas_frecuente_MEDICO NEFROLOGISTA,-0.146260354202905,0.8639327453802715
categoricas__especialidad_mas_frecuente_MEDICO PNEUMOLOGISTA,-0.14504907198333136,0.864979845792688
categoricas__especialidad_mas_frecuente_NEUROCIRURGIAO,-0.1413865246362543,0.8681536840507289
categoricas__especialidad_mas_frecuente_ENDOSCOPIA,-0.13953353037258906,0.8697638592091976
categoricas__especialidad_mas_frecuente_ULTRASSONOGRAFIA,-0.13266036523980052,0.8757624809843335
categoricas__estado_mas_frecuente_RO,-0.12941939007153755,0.8786054098809887
categoricas__especialidad_mas_frecuente_MEDICO HEMATOLOGISTA,-0.11830092566263087,0.8884286614005639
categoricas__estado_mas_frecuente_RN,-0.11562133699098506,0.8908124771737337
categoricas__especialidad_mas_frecuente_INFECTOLOGIA,-0.11558128365752099,0.890848157897497
categoricas__especialidad_mas_frecuente_CIRURGIA PLÁSTICA,-0.115555430247522,0.8908711896578936
categoricas__especialidad_mas_frecuente_MEDICO NUTROLOGISTA,-0.1103499799065697,0.8955206662066962
categoricas__especialidad_mas_frecuente_CANCEROLOGIA CIRURGICA,-0.10966590535697257,0.8961334786838986
categoricas__especialidad_mas_frecuente_MEDICO CIRURGIAO PEDIATRICO,-0.10941494675159671,0.896358399313643
categoricas__especialidad_mas_frecuente_ONCOLOGIA,-0.10603912412455563,0.8993894595623287
categoricas__especialidad_mas_frecuente_MEDICO PATOLOGISTA,-0.10588744595099193,0.8995258876591983
categoricas__especialidad_mas_frecuente_CIRURGIA PLASTICA,-0.10544152526794713,0.8999270943039621
categoricas__unidad_hospitalaria_mas_frecuente_POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE,-0.098335352362217,0.9063449078780621
numericas__costo_total,-0.09828641248166134,0.9063892653750123
categoricas__especialidad_mas_frecuente_CIRURGIA DE MAO,-0.09722180566978594,0.9073547273886726
categoricas__especialidad_mas_frecuente_MEDICO INFECTOLOGISTA,-0.09391572369967924,0.9103594807369445
categoricas__especialidad_mas_frecuente_MEDICO PROCTOLOGISTA,-0.09244072054038255,0.9117032546388725
categoricas__especialidad_mas_frecuente_MEDICO ANGIOLOGISTA,-0.09087563237967726,0.9131312678005373
categoricas__especialidad_mas_frecuente_MEDICO ONCOLOGISTA CLINICO,-0.08819968849354258,0.9155780280704011
categoricas__especialidad_mas_frecuente_MEDICO CIRURGIAO DA MAO,-0.08736216656317414,0.9163451659504307
categoricas__especialidad_mas_frecuente_HEMATOLOGIA,-0.08715895210707202,0.9165313994569606
categoricas__especialidad_mas_frecuente_CIRURGIA CARDIACA,-0.08561028052184996,0.917951905256838
categoricas__especialidad_mas_frecuente_MUSICOTERAPEUTA,-0.08475312956205533,0.9187390659230401
categoricas__especialidad_mas_frecuente_HEMATOLOGIA E HEMOTERAPIA,-0.07754871043025129,0.9253819475459777
categoricas__especialidad_mas_frecuente_PROCTOLOGIA,-0.07742536735255838,0.9254960940428748
categoricas__especialidad_mas_frecuente_PRONTO ATENDIMENTO ADULTO,-0.07588886961915811,0.9269192097206719
