variable,tipo
edad,numerica
numero_utilizaciones,numerica
numero_procedimientos,numerica
numero_especialidades,numerica
numero_estados_atencion,numerica
numero_unidades_hospitalarias,numerica
tuvo_internacion,numerica
costo_total,numerica
costo_promedio,numerica
costo_mediano,numerica
costo_maximo,numerica
n_consultas_C,numerica
n_examenes_E,numerica
n_terapias_T,numerica
n_internaciones_I,numerica
n_urgencias_P,numerica
n_otros_O,numerica
sexo,categorica
tipo_beneficiario,categorica
especialidad_mas_frecuente,categorica
estado_mas_frecuente,categorica
unidad_hospitalaria_mas_frecuente,categorica
