variable,categoria,n_utilizaciones,costo_promedio,costo_mediano,costo_total
sexo,F,336,9945.919910714287,1354.62,3341829.0900000003
sexo,M,663,5071.364524886877,253.42999999999998,3362314.6799999997
sexo,NÃO INFORMADO,263,1514.1138022813689,67.0,398211.93
grupo_edad,"[0.0, 18.0)",44,1065.079772727273,120.04,46863.51000000001
grupo_edad,"[18.0, 30.0)",166,2224.935903614458,191.16500000000002,369339.36
grupo_edad,"[30.0, 45.0)",452,4911.692057522124,270.23,2220084.81
grupo_edad,"[45.0, 60.0)",339,6639.160737463126,180.22,2250675.4899999998
grupo_edad,"[60.0, 75.0)",177,9388.933954802262,167.0,1661841.3100000003
grupo_edad,"[75.0, 110.0)",81,6597.938765432099,167.0,534433.04
grupo_edad,,3,6372.726666666668,152.5,19118.180000000004
internacion,0,940,1221.4837021276599,167.0,1148194.6800000002
internacion,1,322,18491.183291925467,3972.114999999999,5954161.0200000005
uti,0,1236,5180.837370550161,193.495,6403514.989999999
uti,1,26,26878.488846153843,8490.279999999999,698840.71
especialidad,CLINICA GERAL,1,21126.61,21126.61,21126.61
especialidad,CLINICO GERAL,465,356.7312258064516,236.45999999999998,165880.02
especialidad,GINECOLOGIA CLINICA,1,42.64,42.64,42.64
especialidad,GINECOLOGIA E OBSTETRICIA,1,2617.4,2617.4,2617.4
especialidad,HOSPITAIS,8,42592.76375,44650.61,340742.11
especialidad,MEDICO ANESTESIOLOGISTA,2,8063.32,8063.32,16126.64
especialidad,MEDICO CLINICO,18,23937.75555555556,23074.27,430879.60000000003
especialidad,MEDICO ORTOPEDISTA E TRAUMATOLOGISTA,3,19166.36333333333,17841.76,57499.09
especialidad,MEDICO PATOLOGISTA,2,64.4,64.4,128.8
especialidad,NEUROCIRURGIA,1,40468.38,40468.38,40468.38
especialidad,OFTALMOLOGIA,1,84.26,84.26,84.26
especialidad,ORTOPEDIA E TRAUMATOLOGIA,14,2354.7514285714283,319.915,32966.52
especialidad,OTORRINOLARINGOLOGIA,1,262.76,262.76,262.76
especialidad,PEDIATRIA,6,171.395,173.28500000000003,1028.3700000000001
especialidad,PRONTO ATENDIMENTO GERAL,4,10645.802499999994,6443.380000000001,42583.20999999998
especialidad,PSICOLOGIA - AVALIAÇÃO,1,180.0,180.0,180.0
especialidad,,733,8116.970381991814,167.0,5949739.29
cetipo,C,113,183.26522123893807,167.0,20708.97
cetipo,E,37,389.67945945945945,209.93000000000004,14418.14
cetipo,I,410,16884.273195121954,3049.245,6922552.010000001
cetipo,O,285,330.02168421052636,255.4,94056.18000000001
cetipo,P,84,301.49178571428575,237.25,25325.31
cetipo,T,333,75.96123123123124,67.0,25295.09
unidad_hospitalaria,CENTRAL DE GESTAO EM SAUDE,30,10811.321333333333,1530.365,324339.64
unidad_hospitalaria,CENTRO DE SAUDE/UNIDADE BASICA,39,412.38512820512824,300.83000000000004,16083.02
unidad_hospitalaria,CLINICA/CENTRO DE ESPECIALIDADE,122,5510.581885245901,201.59500000000003,672290.9899999999
unidad_hospitalaria,CONSULTORIO ISOLADO,96,989.7659374999998,30.0,95017.52999999998
unidad_hospitalaria,HOSPITAL ESPECIALIZADO,9,10339.727777777776,1408.8,93057.54999999999
unidad_hospitalaria,HOSPITAL GERAL,386,10628.812124352331,1037.8000000000002,4102721.48
unidad_hospitalaria,HOSPITAL/DIA - ISOLADO,3,10661.196666666665,11853.779999999999,31983.589999999997
unidad_hospitalaria,POLICLINICA,76,1647.400657894737,255.47500000000002,125202.45000000001
unidad_hospitalaria,PRONTO ATENDIMENTO,105,249.04038095238096,168.81,26149.24
unidad_hospitalaria,PRONTO SOCORRO GERAL,34,227.97264705882355,196.745,7751.070000000001
unidad_hospitalaria,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),4,308.795,234.22500000000002,1235.18
unidad_hospitalaria,,358,4487.497094972067,67.0,1606523.96
estado,CE,7,185.62285714285713,185.66,1299.36
estado,MT,1,5738.58,5738.58,5738.58
estado,PR,127,1067.288503937008,30.0,135545.64
estado,RJ,51,6903.503725490195,331.33000000000004,352078.68999999994
estado,RS,5,2311.5219999999995,214.25,11557.609999999997
estado,SP,713,6998.0530995792415,270.22999999999996,4989611.859999999
estado,,358,4487.497094972067,67.0,1606523.96
