especialidad,dorsalgia,n_registros
FALTANTE,0,6815373
FALTANTE,1,26066
MEDICO ONCOLOGISTA CLINICO,0,2306
MEDICO CLINICO,0,616454
MEDICO DERMATOLOGISTA,0,10809
MEDICO OFTALMOLOGISTA,0,26330
MEDICO GINECOLOGISTA E OBSTETRA,0,29598
MEDICO DE FAMILIA E COMUNIDADE,0,10606
MEDICO OTORRINOLARINGOLOGISTA,0,12277
MEDICO PSIQUIATRA,0,5147
MEDICO PATOLOGISTA,0,7080
MEDICO ANESTESIOLOGISTA,0,8865
MEDICO ORTOPEDISTA E TRAUMATOLOGISTA,0,42579
MEDICO EM RADIOLOGIA E DIAGNOSTICO POR IMAGEM,0,54495
MEDICO MASTOLOGISTA,0,766
MEDICO CARDIOLOGISTA,0,24270
MEDICO NEFROLOGISTA,0,3026
MEDICO REUMATOLOGISTA,0,3226
FISIOTERAPEUTA GERAL,0,30911
MEDICO FISIATRA,0,333
MEDICO NEUROCIRURGIAO,0,2091
MEDICO EM CIRURGIA VASCULAR,0,5637
MEDICO CIRURGIAO PLASTICO,0,4762
MEDICO CIRURGIAO GERAL,0,6730
MEDICO ENDOCRINOLOGISTA E METABOLOGISTA,0,11073
MEDICO CIRURGIAO DO APARELHO DIGESTIVO,0,6229
GINECOLOGIA,0,4080
MEDICO CIRURGIAO TORACICO,0,297
MEDICO UROLOGISTA,0,7332
MEDICO NUTROLOGISTA,0,943
MEDICO NEUROLOGISTA,0,2451
MEDICO EM ENDOSCOPIA,0,1966
MEDICO CIRURGIAO PEDIATRICO,0,699
FONOAUDIOLOGO,0,11317
MEDICO GERIATRA,0,3529
MEDICO PATOLOGISTA CLINICO/ MEDICINA LABORATORIAL,0,14011
MEDICO HEMATOLOGISTA,0,2374
PSICOLOGO CLINICO,0,27102
MEDICO ACUPUNTURISTA,0,3398
MEDICO CIRURGIAO DA MAO,0,817
NUTRICIONISTA,0,1753
MEDICO EM MEDICINA NUCLEAR,0,1195
MEDICO CANCEROLOGISTA CIRURGICO,0,313
MEDICO PNEUMOLOGISTA,0,1678
MEDICO CIRURGIAO DE CABECA E PESCOCO,0,1042
MEDICO PEDIATRA,0,24306
MEDICO PROCTOLOGISTA,0,514
MEDICO ALERGISTA E IMUNOLOGISTA,0,3649
CIRURGIAO DENTISTA - TRAUMATOLOGISTA BUCOMAXILOFAC,0,142
CIRURGIAO DENTISTA - CLINICO GERAL,0,174
MEDICO ANGIOLOGISTA,0,585
ORTOPTISTA,0,529
MEDICO DO TRABALHO,0,549
MEDICO GASTROENTEROLOGISTA,0,2226
TERAPEUTA OCUPACIONAL,0,7671
MEDICO HOMEOPATA,0,279
BIOMEDICO,0,206
MEDICO INFECTOLOGISTA,0,1148
MEDICO GENERALISTA,0,3764
MEDICO CIRURGIAO CARDIOVASCULAR,0,335
MEDICO EM MEDICINA INTENSIVA,0,1700
MEDICO NEUROFISIOLOGISTA,0,55
MEDICO EM MEDICINA DE TRAFEGO,0,116
MEDICO RADIOTERAPEUTA,0,118
MUSICOTERAPEUTA,0,1388
NÃO INFORMADA,0,3895
PSICOPEDAGOGO,0,114
CBO DO PRESTADOR SOLICITANTE DESCONHECIDO OU NAO I,0,450
GENETICISTA,0,178
ENFERMEIRO,0,161
TECNICO DE ENFERMAGEM,0,187
CIRURGIA ONCOLOGICA,0,55
MEDICO CANCEROLOGISTA PEDIATRICO,0,86
MEDICO CLINICO,1,268
FARMACEUTICO ANALISTA CLINICO,0,264
CIRURGIAO DENTISTA - ORTOPEDISTA E ORTODONTISTA,0,75
MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA,0,18
MEDICO ANATOMOPATOLOGISTA,0,87
MEDICO GENETICISTA,0,33
MEDICO RADIOLOGISTA INTERVENCIONISTA,0,3
MEDICO CITOPATOLOGISTA,0,20
PSICOMOTRICISTA,0,51
FISIOTERAPEUTA GERAL,1,5
PROFISSIONAL DE EDUCACAO FISICA NA SAUDE,0,76
MEDICO ORTOPEDISTA E TRAUMATOLOGISTA,1,102
PESQUISADOR EM BIOLOGIA DE MICROORGANISMOS E PARAS,0,70
CLINICA MEDICA,0,4955
HOSPITAIS,0,22390
RADIOLOGIA,0,1191
ANALISES CLINICAS,0,22533
CARDIOLOGIA,0,28392
ALERGIA E IMUNOLOGIA,0,6270
ECOGRAFIA VASCULAR COM DOPLLER,0,17
FISIOTERAPIA,0,9653
CIRURGIA DA MAO,0,67
UROLOGIA,0,7131
ANESTESIOLOGIA,0,1848
GASTROENTEROLOGIA,0,4635
ORTOPEDIA E TRAUMATOLOGIA,0,29250
ULTRASSONOGRAFIA,0,3351
OFTALMOLOGIA,0,65056
PSIQUIATRIA,0,5357
OBSTETRICIA,0,26896
GINECOLOGIA E OBSTETRICIA,0,8617
DERMATOLOGIA,0,14282
FONOAUDIOLOGIA,0,4058
INFECTOLOGIA,0,840
HOSPITAIS,1,378
ANESTESIOLOGIA,1,27
GERAIS,0,1540
PSICOLOGIA,0,16907
ANGIOLOGIA,0,1812
CIRURGIA VASCULAR,0,2226
MASTOLOGIA,0,1417
CARDIOLOGIA PEDIATRICA,0,98
PSICO - PEDAGOGIA,0,81
NEUROCIRURGIA,0,2115
MEDICINA DE EMERGENCIA,0,225
CIRURGIA GASTROENTEROLOGICA,0,268
PEDIATRIA,0,15140
ORTOPEDIA E TRAUMATOLOGIA,1,182
CIRURGIA GERAL,0,82951
ONCOLOGIA CLINICA,0,1398
HOMEOPATIA,0,203
ENDOSCOPIA,0,3958
MEDICINA NUCLEAR,0,651
NEUROCIRURGIA,1,68
ELETROCARDIOGRAFIA,0,81
OTORRINOLARINGOLOGIA,0,12096
ANATOMIA PATOLOGICA,0,317
ANALISES CLINICAS,1,20
FONIATRIA,0,272
HEMOTERAPIA,0,199
CANCEROLOGIA,0,341
ORTOPEDIA INFANTIL,0,190
ENDOCRINOLOGIA E METABOLOGIA,0,2244
ACUPUNTURA,0,3671
PNEUMOLOGIA,0,2732
HEMATOLOGIA,0,1195
TISIOPNEUMOLOGIA,0,19
NEFROLOGIA,0,4464
GERIATRIA E GERONTOLOGIA,0,23
CIRURGIA PLASTICA RESTAURADORA,0,110
NEUROLOGIA,0,3144
ECOCARDIOGRAFIA,0,43
"ANGIORRADIOLOGIA, CIRUGIA ENDOVASCULAR",0,14
AN. CLIN-AN PAT-COLPOCITOLOGIA,0,225
NEUROPEDIATRIA,0,85
AN. CLIN-AN PAT-RADIOIMUNOENSA,0,16
OFTALMOLOGIA,1,16
NUTROLOGIA,0,1413
PROCTOLOGIA,0,168
GASTRO PEDIATRA,0,18
MEDICINA PREVENTIVA E SOCIAL,0,92
CLINICA GERAL,0,15353
ENDOCRINOLOGIA,0,6715
CIRURGIA CARDIACA,0,485
REUMATOLOGIA,0,2663
CIRURGIA APARELHO DIGESTIVO,0,354
GINECOLOGIA  E OBSTETRICIA,0,4555
CARDIOVASCULAR,0,18
GERIATRIA,0,2081
ONCOLOGIA,0,358
NUTRICAO,0,412
CANCEROLOGIA CIRURGICA,0,157
NEUROCIRURGIAO,0,193
RADIOTERAPIA,0,127
CIRURGIA PLASTICA,0,595
BUCO MAXILAR,0,73
CIRURGIA PEDIATRICA,0,138
CIRURGIA DE CABECA E PESCOCO,0,102
ORTOPEDIA,0,17
RADIOLOGIA E DIAGNOSTICO POR IMAGEM,0,37
ENDOSCOPIA DIGESTIVA,0,641
TERAPIA OCUPACIONAL,0,1272
HEPATOLOGIA,0,59
PATOLOGIA CLÍNICA / MEDICINA LABORATORIAL,0,198929
MEDICINA FÍSICA E REABILITAÇÃO,0,13990
CLINICA MÉDICA,0,189748
PATOLOGIA,0,24418
INTERCAMBIO,0,319
RADIOLOGIA E DIAGNÓSTICO POR IMAGEM,0,26585
COLPOSCOPIA  COLPOCITOPATOLOGIA,0,5482
TERAPIAS ESPECÍFICAS,0,31535
COLO-PROCTOLOGIA,0,385
CIRURGIA DA CABEÇA E PESCOÇO,0,419
CIRURGIA PLÁSTICA,0,688
CIRURGIA PEDIÁTRICA,0,110
RESSONÂNCIA MAGNÉTICA,0,78
HEMATOLOGIA E HEMOTERAPIA,0,1076
CIRURGIA DE MAO,0,624
CIRURGIA ONCOLÓGICA,0,263
CIRURGIA TORÁCICA,0,213
ULTRASONOGRAFIA,0,274
MEDICINA INTENSIVA,0,108
FONOTERAPIA,0,93
NEUROCIRURGIA PEDIÁTRICA,0,34
GENÉTICA MÉDICA,0,36
CLINICAS E HOSPITAIS,0,27
RADIOLOGIA INTERVENCIONISTA,0,31
DENSITOMETRIA OSSEA,0,56
CIRURGIA CARDIOVASCULAR,0,177
CIRURGIA CRANIO-MAXILO-FACIAL,0,49
HEMODINAMICA,0,31
PNEUMOLOGIA PEDIÁTRICA,0,10
MEDICO ANESTESIOLOGISTA,1,49
ENFERMEIRO PUERICULTOR E PEDIATRICO,0,2
MEDICO HEMOTERAPEUTA,0,30
HOSPITAL,0,19567
OUTROS,0,24
ELETROENCEFALOGRAFIA,0,4
UTI-NEONATAL,0,33
DIFERENCIADOS,0,76
CLÍNICA MÉDICA,0,10877
PSICOMOTRICIDADE - TERAPIAS PA,0,2252
MUSICOTERAPIA - TERAPIAS PARA,0,613
MÉTODO ABA (ANÁLISE DE COMPORT,0,25360
GINECOLOGIA E OBSTETRÍCIA,0,7227
ANÁLISES CLÍNICAS DIVERSAS,0,171697
CONSULTA EM PSIQUIATRIA,0,614
PRONTO ATENDIMENTO GERAL,0,76264
PATOLOGIA CLINICA / MEDICINA L,0,1224
CONSULTA EM ORTOPEDIA E TRAUMA,0,8312
CONSULTA EM ONCOLOGIA CLINICA,0,2741
ONCOLOGIA CLÍNICA,0,1891
CIRURGIA DA MÃO,0,264
RADIOLOGIA E DIAG. POR IMAGEM,0,1122
CONSULTA EM UROLOGIA,0,2155
CIRURGIA DO APARELHO DIGESTIVO,0,2792
NEUROLOGIA PEDIATRICA,0,125
PRONTO ATENDIMENTO ADULTO,0,2129
CONSULTA EM DERMATOLOGIA,0,553
CONSULTA EM GINECOLOGIA,0,286
CONSULTA EM PEDIATRIA,0,109
CONSULTA EM ALERGIA E IMUNOLOG,0,797
CONSULTA COM NUTRICIONISTA,0,443
URODINÂMICA,0,241
CONSULTA EM OTORRINOLARINGOLOG,0,349
PRONTO ATENDIMENTO GERAL,1,353
TERAPIA OCUPACIONAL - TERAPIAS,0,520
AUDIOMETRIA,0,733
CIRURGIA DE CABEÇA E PESCOÇO,0,2034
LARINGOSCOPIA,0,84
PSICOPEDAGOGIA - TERAPIAS PARA,0,239
CIRURGIA TORACICA,0,69
GENETICA MEDICA,0,21
RAIO-X,0,21
MEDICINA DE FAMILIA/COMUNIDADE,0,69
CIRURGIA CRÂNIO-MAXILO-FACIAL,0,120
CONSULTA EM CIRURGIA PLÁSTICA,0,91
PATOLOGIA CLIN./MED.LABORAT.,0,1392
HOME CARE,0,299
MEDICINA HIPERBÁRICA,0,132
CONSULTA EM CARDIOLOGIA,0,126
CONSULTA EM OFTALMOLOGIA,0,74
ELETRONEUROMIOGRAFIA/ELETROMIO,0,64
ESPIROMETRIA / PROVA DE FUNÇÃO,0,61
MÉDICO,0,1064
DERMATOLOGIA CLINICA E CIRURGICA,0,420
CLINICO GERAL,0,38305
ANGIOLOGIA/CIRUR VASCULAR,0,99
OBSTETRICIA / PRE NATAL,0,178
GENERALISTA,0,180
GINECOLOGIA CLINICA,0,644
FISIOTERAPIA - AVALIAÇÃO,0,7
ENDOCRINOLOGIA/METABOLOGIA,0,1053
GERIATRIA/GERONTOLOGIA,0,15
PSICOTERAPIA,0,123
CIRURGIA GINECOLOGICA,0,32
TERAPIA OCUPACIONAL TEA,0,23
FISIOT PELVICA BIOFEEDBACK,0,2
ENFERMAGEM NASCER BEM,0,79
PNEUMOLOGIA PEDIATRICA,0,13
AVALIAÇÃO BARIÁTRICA,0,1
ALERGOLOGIA,0,93
TERAPIA OCUPACIONAL-SESSAO,0,11
CLINICO GERAL,1,5762
UROLOGIA,1,7
ORTOPEDIA PEDIATRICA,0,37
ENFERMAGEM,0,6
RENOVAÇÃO DE RECEITAS,0,19
ATENDIMENTO DO SERVICO,0,66
ONCOLOGIA CLINICA/QUIMIOTERAPIA,0,83
NEUROLOGIA,1,6
CONSULTA EM NEUROLOGIA,0,22
MED. FÍSICA E REABILITAÇÃO,0,32
MEDICO EM RADIOLOGIA E DIAGNOSTICO POR IMAGEM,1,9
CIRURGIAO / CLINICO,0,74424
ANESTESIOLOGISTA,0,213
PRIMEIRO ASSISTENTE,0,62
INSTRUMENTADOR,0,31
SEGUNDO ASSISTENTE,0,8
MEDICO PATOLOGISTA,1,19
MEDICO ACUPUNTURISTA,1,4
AUXILIAR DE ENFERMAGEM,0,6
MEDICO GINECOLOGISTA E OBSTETRA,1,2
ELETROENCEFALO-ELETROCARDIO-RA,0,16
TERAPIA INTENSIVA,0,44
MEDICINA ESPORTIVA,0,2
QUIMIOTERAPIA,0,27
CIRURGIA TORAXICA,0,9
MEDICINA DOMICILIAR,0,40
ULTRASSONOGRAFIA,1,3
CATETERISMO CARDIACO,0,15
CIRURGIA DA CABECA E PESCOCO,0,30
GINECOLOGIA E OBSTETRICIA,1,7
MEDICO REUMATOLOGISTA,1,3
MEDICO DE FAMILIA E COMUNIDADE,1,2
MEDICO CIRURGIAO GERAL,1,1
CARDIOLOGIA,1,21
NEFROLOGIA,1,3
PNEUMOLOGIA,1,3
DERMATOLOGIA CLINICA E CIRURGICA,1,5
OTORRINOLARINGOLOGIA,1,26
PSICOLOGIA - AVALIAÇÃO,0,87
MUSICOTERAPIA TEA,0,10
PSICOLOGIA TEA,0,83
TERAPIA NUTRICIONAL TEA,0,18
REUMATOLOGIA,1,4
ODONTOLOGIA CLINICA,0,70
FISIATRIA,0,32
EXAMES EM CARDIOLOGIA,0,24
MEDICO SAUDE DA FAMILIA,0,12
GASTROENTEROLOGIA,1,7
HEMATOLOGIA,1,32
GASTROENTEROLOGIA PEDIATRICA,0,8
ANGIOLOGIA/CIRUR VASCULAR,1,7
PSICOLOGIA ABA,0,21
TESTE ALERGICO,0,1
FONOAUDIOLOGIA TEA,0,46
FISIOTERAPIA POS OPERATORIA,0,14
MEDICO VIVER BEM,0,14
ENFERMAGEM VIVER BEM,0,1
HEBEATRIA,0,19
FISIOT PEDIATRICA,0,2
DOR NAS COSTAS - LOMBALGIA,0,13
PEDIATRIA ESPECIALIZANDO,0,1
CIRURGIA BUCO MAXILO FACIAL,0,9
INFECTOLOGIA PEDIATRICA,0,2
ODONTOLOGIA PREVENCAO,0,21
RADIOLOGIA ODONTOLOGICA,0,7
PEDIATRIA,1,24
ODONTOLOGIA PREVENCAO,1,3
ODONTOLOGIA CLINICA,1,7
ATENDIMENTO DO SERVICO,1,2
MÉDICO DA COLUNA QUALIVIDA,0,7
