unidad,dorsalgia,n_registros
FALTANTE,0,2676134
CONSULTORIO ISOLADO,0,551626
UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),0,2222042
HOSPITAL/DIA - ISOLADO,0,33659
CENTRAL DE GESTAO EM SAUDE,0,253492
HOSPITAL GERAL,0,2109889
CLINICA/CENTRO DE ESPECIALIDADE,0,754168
UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,0,42565
CENTRO DE SAUDE/UNIDADE BASICA,0,2523
POLICLINICA,0,182382
COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE,0,20035
CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA,0,5717
CENTRAL DE ABASTECIMENTO,0,1180
SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE),0,43589
UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),1,2235
HOSPITAL GERAL,1,13104
HOSPITAL ESPECIALIZADO,0,163751
CONSULTORIO ISOLADO,1,597
FALTANTE,1,10167
PRONTO SOCORRO GERAL,0,61574
UNIDADE MOVEL TERRESTRE,0,263
CENTRO DE IMUNIZACAO,0,5948
TELESSAUDE,0,2268
CLINICA/CENTRO DE ESPECIALIDADE,1,2592
POLICLINICA,1,1117
HOSPITAL/DIA - ISOLADO,1,254
HOSPITAL ESPECIALIZADO,1,214
CENTRAL DE GESTAO EM SAUDE,1,1263
FARMACIA,0,290
POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE,0,201
PRONTO ATENDIMENTO,0,174965
COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE,1,6
SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE),1,25
PRONTO SOCORRO ESPECIALIZADO,0,995
LABORATORIO DE SAUDE PUBLICA,0,2303
TELESSAUDE,1,2
PRONTO SOCORRO GERAL,1,390
PRONTO ATENDIMENTO,1,1140
POSTO DE SAUDE,0,10
CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA,1,8
CENTRO DE SAUDE/UNIDADE BASICA,1,483
UNIDADE MISTA,0,29
CENTRO DE ATENCAO PSICOSSOCIAL,0,37
UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,1,2
LABORATORIO CENTRAL DE SAUDE PUBLICA LACEN,0,23
"CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL",0,21
