variable,importancia
cat__cetipo_I,0.5139001391853442
num__edad,0.18591744400940327
num__internacion,0.10909359495060705
cat__cetipo_T,0.08103609872783894
cat__unidad_hospitalaria_HOSPITAL GERAL,0.027269103562741304
cat__especialidad_CLINICO GERAL,0.015904789456162215
cat__unidad_hospitalaria_CONSULTORIO ISOLADO,0.010925829571618344
cat__sexo_M,0.01081368593945204
cat__especialidad_MEDICO CLINICO,0.007243650441900843
num__uti,0.006519889425963779
cat__sexo_F,0.005885040614192287
cat__estado_SP,0.004443630838694001
cat__cetipo_C,0.0037900345223067723
cat__unidad_hospitalaria_CLINICA/CENTRO DE ESPECIALIDADE,0.0031541256971372457
cat__sexo_NÃO INFORMADO,0.0030088273449183837
cat__estado_PR,0.0024151433928346366
cat__unidad_hospitalaria_CENTRO DE SAUDE/UNIDADE BASICA,0.0019221171409460986
cat__unidad_hospitalaria_CENTRAL DE GESTAO EM SAUDE,0.0013038595006331464
cat__especialidad_ORTOPEDIA E TRAUMATOLOGIA,0.0009507189365073308
cat__unidad_hospitalaria_PRONTO ATENDIMENTO,0.000913798881111961
cat__unidad_hospitalaria_POLICLINICA,0.0006675655258828808
cat__unidad_hospitalaria_HOSPITAL ESPECIALIZADO,0.0004879165259030409
cat__estado_RJ,0.0004841126326975192
cat__cetipo_O,0.00042393682573379333
cat__cetipo_E,0.0003933198866876318
cat__especialidad_HOSPITAIS,0.00038487777571087595
cat__cetipo_P,0.00031432657368566015
cat__especialidad_PRONTO ATENDIMENTO GERAL,0.0003117918093390083
cat__unidad_hospitalaria_PRONTO SOCORRO GERAL,0.00010339716319507818
cat__unidad_hospitalaria_UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),1.5612167045060648e-05
cat__estado_CE,1.6209738056081493e-06
cat__especialidad_MEDICO ANESTESIOLOGISTA,0.0
cat__especialidad_PEDIATRIA,0.0
cat__especialidad_NEUROCIRURGIA,0.0
cat__especialidad_OFTALMOLOGIA,0.0
cat__especialidad_MEDICO PATOLOGISTA,0.0
cat__especialidad_MEDICO ORTOPEDISTA E TRAUMATOLOGISTA,0.0
cat__especialidad_OTORRINOLARINGOLOGIA,0.0
cat__unidad_hospitalaria_HOSPITAL/DIA - ISOLADO,0.0
cat__estado_MT,0.0
cat__estado_RS,0.0
