variable,count,unique,top,freq,mean,std,min,25%,50%,75%,max
CHAVE_FUNCIONAL,653631,653631,0E1D2227-9F44-4856-89B7-B148ED7D490E,1,,,,,,,
dorsalgia,653631.0,,,,0.000968436319574806,0.0311046609186241,0.0,0.0,0.0,0.0,1.0
edad,650155.0,,,,38.41590466888665,22.126900118411683,0.0,21.4,38.5,53.2,107.5
sexo,653631,4,F,359895,,,,,,,
tipo_beneficiario,653631,10,TITULAR,338499,,,,,,,
numero_utilizaciones,653631.0,,,,3.442778876766861,4.625023713728749,1.0,1.0,2.0,4.0,110.0
numero_procedimientos,653631.0,,,,7.853398936096972,11.169491509255513,1.0,1.0,3.0,9.0,149.0
numero_dias_atencion,653631.0,,,,3.442778876766861,4.625023713728749,1.0,1.0,2.0,4.0,110.0
numero_especialidades,653631.0,,,,0.7277347616621611,1.2851679877582758,0.0,0.0,0.0,1.0,18.0
numero_estados_atencion,653631.0,,,,0.7934079014000254,0.52890363119612,0.0,0.0,1.0,1.0,9.0
numero_unidades_hospitalarias,653631.0,,,,1.1162001190274022,0.9379053416393708,0.0,0.0,1.0,2.0,10.0
tuvo_internacion,653631.0,,,,0.0245719679758151,0.1548167401638443,0.0,0.0,0.0,0.0,1.0
tuvo_uti,653631.0,,,,0.0037039246914543525,0.0607471092237705,0.0,0.0,0.0,0.0,1.0
porte_anestesico_mas_frecuente,574984,8,0.0,571831,,,,,,,
costo_total,653631.0,,,,1527.6460898427401,9743.87204869996,-3495.77,138.69,329.53000000000003,797.46,1905829.57
costo_promedio,653631.0,,,,128.14806535714638,766.7678795071032,-873.9425,33.6986038961039,74.08133333333333,120.0,244680.0
costo_mediano,653631.0,,,,94.70092287544502,702.0539532375441,0.0,13.27,55.65,113.285,244680.0
costo_maximo,653631.0,,,,494.73031750330085,3413.552952035327,0.0,100.0,136.04,234.12,628388.67
n_consultas_C,653631.0,,,,1.2342667345949014,1.3683126978659677,0.0,0.0,1.0,2.0,121.0
n_examenes_E,653631.0,,,,6.453820274742171,11.877351322571654,0.0,0.0,1.0,7.0,561.0
n_terapias_T,653631.0,,,,1.0912028346268767,5.195473434846783,0.0,0.0,0.0,0.0,594.0
n_internaciones_I,653631.0,,,,2.431229546946213,37.051374534359844,0.0,0.0,0.0,0.0,8173.0
n_urgencias_P,653631.0,,,,1.4265587158503805,6.121049708306919,0.0,0.0,0.0,0.0,835.0
n_otros_O,653631.0,,,,1.6604047237661617,8.329691377915335,0.0,0.0,0.0,1.0,1163.0
especialidad_mas_frecuente,240493,339,MEDICO CLINICO,36508,,,,,,,
estado_mas_frecuente,488699,27,SP,309396,,,,,,,
unidad_hospitalaria_mas_frecuente,488699,28,HOSPITAL GERAL,135442,,,,,,,
