,mediana_neg,mediana_pos,ratio_pos_neg
n_procedimientos,5.0,7.0,1.4
edad,39.0,53.0,1.358974358974359
n_proc_distintos,3.0,4.0,1.3333333333333333
ventana_dias,8.0,8.0,1.0
n_utilizaciones,2.0,2.0,1.0
n_estados,1.0,1.0,1.0
n_unidades,1.0,1.0,1.0
n_exame,1.0,1.0,1.0
n_consulta,1.0,1.0,1.0
costo_total,329.55999999999995,292.145,0.8864698385726424
costo_promedio,74.10666666666667,48.0,0.647715005397625
costo_max,136.08,83.0,0.6099353321575544
n_especialidades,0.0,1.0,
n_internacao,0.0,0.0,
n_terapia,0.0,0.0,
n_pronto_socorro,0.0,0.0,
n_internado,0.0,0.0,
n_uti,0.0,0.0,
