,coef,efecto_multiplicativo,p_value
Intercept,4.8237175425215835,124.42679394483126,0.0
C(cetipo)[T.Exame],-1.3014418464969382,0.2721391271728972,0.0
C(cetipo)[T.Internação],0.40452146403020073,1.4985852015211432,1.6170868617205833e-25
C(cetipo)[T.Outros],0.7637169785422591,2.1462389367809194,1.5809254121142503e-77
C(cetipo)[T.Pronto Socorro],-0.798003726686837,0.4502268434452117,3.8548574891458727e-79
C(cetipo)[T.Terapia],-0.4876543349351001,0.6140650972131441,3.0716126402416194e-27
htn_line,0.8718032077022256,2.391218832482994,0.18569346184090008
benef_htn,-0.6632929998477124,0.5151521423810903,0.09985510074395683
uti,1.7164996419502054,5.565014787463957,1.4555650758282078e-21
internado,0.4346909896181682,1.5444857230812439,4.4922269877527027e-08
