consulta_id,tipo_consulta,consulta,estrategia,posicion,paper_id,title,authors_raw,publication_date,topic_label,doi,url,puntaje,fragmento,relevante,observacion
E1,Términos literales,single-cell RNA sequencing,TF-IDF,1,294,Machine learning approaches for biomarker discovery using single-cell RNA sequencing,"Dewa, Gabriel; Munier, C. Mee Ling Mee Ling; Ballouz, Sara; Louie, Raymond",2026-04-02,Machine Learning,10.3389/fbinf.2026.1767362,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2026.1767362/full,0.33281667919178604,"The application of single-cell RNA sequencing (scRNA-seq) for biomarker discovery promises unprecedented resolution in identifying potential biomarkers by capturing and analysing cellular heterogeneity. Traditionally, biomarker discovery efforts within single-cell transcriptomics have primarily r...",1,La revisión trata directamente el descubrimiento de biomarcadores mediante secuenciación de RNA de célula única.
E1,Términos literales,single-cell RNA sequencing,TF-IDF,2,329,A clustering method for single-cell RNA sequencing data based on denoising and masking learning,"Xu, Shuang; Yan, Wen; Zhang, Bin; Qi, Hong; Wang, Kai",2026-03-03,Estadistica,10.3389/fbinf.2026.1758257,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2026.1758257/full,0.30066332332685203,"Introduction: Single-cell RNA sequencing (scRNA-seq) enables high-throughput analysis of gene expression at single-cell resolution and plays a crucial role in studying cellular heterogeneity, tissue development, and disease mechanisms. However, scRNA-seq data are characterized by high dimensional...",1,El método propuesto está diseñado específicamente para agrupar datos de secuenciación de RNA de célula única.
E1,Términos literales,single-cell RNA sequencing,TF-IDF,3,6,Celline: a flexible tool for one-step retrieval and integrative analysis of public single-cell RNA sequencing data,"Sato, Yuya; Asahi, Toru; Kataoka, Kosuke",2025-12-11,Otros,10.3389/fbinf.2025.1684227,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1684227/full,0.2716529379457225,"Single-cell RNA sequencing (scRNA-seq) has generated a rapidly expanding collection of public datasets that provide insight into development, disease, and therapy. However, researchers lack an end-to-end solution for seamlessly retrieving, preprocessing, integrating, and analyzing these data beca...",1,"El artículo se centra en la recuperación, integración y análisis de datos de secuenciación de RNA de célula única."
E1,Términos literales,single-cell RNA sequencing,TF-IDF,4,125,Primer on machine learning applications in brain immunology,"Binder, Niklas; Khavaran, Ashkan; Sankowski, Roman",2025-04-17,Machine Learning,10.3389/fbinf.2025.1554010,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1554010/full,0.2372252995147563,"Single-cell and spatial technologies have transformed our understanding of brain immunology, providing unprecedented insights into immune cell heterogeneity and spatial organisation within the central nervous system. These methods have uncovered complex cellular interactions, rare cell population...",1,"La revisión aborda análisis de tecnologías de célula única y genómica unicelular, aunque aplicada a inmunología cerebral."
E1,Términos literales,single-cell RNA sequencing,TF-IDF,5,142,An extended miRNA repertoire in Rattus norvegicus,"Lehmann, Julienne; Yazbeck, Ali; Hackermüller, Jörg; Canzler, Sebastian",2025-03-10,Otros,10.3389/fbinf.2025.1545680,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1545680/full,0.23652220474937682,"MicroRNAs (miRNAs) are small, non-coding RNA molecules, approximately 22 nucleotides in length, that play crucial roles in the regulation of gene expression....",0,"El trabajo amplía un repertorio de microRNA en rata, pero no estudia secuenciación ni análisis de RNA de célula única."
E1,Términos literales,single-cell RNA sequencing,LSA,1,329,A clustering method for single-cell RNA sequencing data based on denoising and masking learning,"Xu, Shuang; Yan, Wen; Zhang, Bin; Qi, Hong; Wang, Kai",2026-03-03,Estadistica,10.3389/fbinf.2026.1758257,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2026.1758257/full,0.6249849104833489,"Introduction: Single-cell RNA sequencing (scRNA-seq) enables high-throughput analysis of gene expression at single-cell resolution and plays a crucial role in studying cellular heterogeneity, tissue development, and disease mechanisms. However, scRNA-seq data are characterized by high dimensional...",1,El método propuesto está diseñado específicamente para agrupar datos de secuenciación de RNA de célula única.
E1,Términos literales,single-cell RNA sequencing,LSA,2,294,Machine learning approaches for biomarker discovery using single-cell RNA sequencing,"Dewa, Gabriel; Munier, C. Mee Ling Mee Ling; Ballouz, Sara; Louie, Raymond",2026-04-02,Machine Learning,10.3389/fbinf.2026.1767362,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2026.1767362/full,0.6242497885626634,"The application of single-cell RNA sequencing (scRNA-seq) for biomarker discovery promises unprecedented resolution in identifying potential biomarkers by capturing and analysing cellular heterogeneity. Traditionally, biomarker discovery efforts within single-cell transcriptomics have primarily r...",1,La revisión trata directamente el descubrimiento de biomarcadores mediante secuenciación de RNA de célula única.
E1,Términos literales,single-cell RNA sequencing,LSA,3,6,Celline: a flexible tool for one-step retrieval and integrative analysis of public single-cell RNA sequencing data,"Sato, Yuya; Asahi, Toru; Kataoka, Kosuke",2025-12-11,Otros,10.3389/fbinf.2025.1684227,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1684227/full,0.5457416442967162,"Single-cell RNA sequencing (scRNA-seq) has generated a rapidly expanding collection of public datasets that provide insight into development, disease, and therapy. However, researchers lack an end-to-end solution for seamlessly retrieving, preprocessing, integrating, and analyzing these data beca...",1,"El artículo se centra en la recuperación, integración y análisis de datos de secuenciación de RNA de célula única."
E1,Términos literales,single-cell RNA sequencing,LSA,4,327,Integrating trajectory inference and self-explainable predictive models to explore cell state transitions in breast cancer at single-cell resolution,"Verrina, Vanessa; Talia, Marianna; Cesario, Eugenio; Capalbo, Santina; Scordamaglia, Domenica; Lappano, Rosamaria; Miglietta, Anna Maria; Maggiolini, Marcello; Giordano, Sabrina",2026-03-04,Otros,10.3389/fbinf.2026.1672671,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2026.1672671/full,0.4659549241404228,Introduction: Breast cancer is characterized by a highly heterogeneous cellular environment composed of diverse malignant clones and components of the tumor microenvironment (TME) that collectively influence disease progression. Single-cell RNA sequencing (scRNA-seq) offers a powerful tool to dis...,1,El estudio analiza transiciones celulares en cáncer de mama mediante datos de RNA de célula única.
E1,Términos literales,single-cell RNA sequencing,LSA,5,125,Primer on machine learning applications in brain immunology,"Binder, Niklas; Khavaran, Ashkan; Sankowski, Roman",2025-04-17,Machine Learning,10.3389/fbinf.2025.1554010,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1554010/full,0.45275735020075514,"Single-cell and spatial technologies have transformed our understanding of brain immunology, providing unprecedented insights into immune cell heterogeneity and spatial organisation within the central nervous system. These methods have uncovered complex cellular interactions, rare cell population...",1,"La revisión aborda análisis de tecnologías de célula única y genómica unicelular, aunque aplicada a inmunología cerebral."
