pagina,url,texto_bloque_articulo,doi,estado_publicacion_listado,fecha_publicacion_listado_texto,fecha_publicacion_listado,year_publicacion_listado,views_text,downloads
1,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1735106/full,"Original Research

Published on 19 Dec 2025

Network-based insights into miR-30a-5p-mediated regulation and EGCG targeting in triple-negative breast cancer

in Drug Discovery in Bioinformatics

Loganathan Chandramani Priya Dharshini
Abul Kalam Azad Mandal
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1735106
1,538 views",10.3389/fbinf.2025.1735106,Published on,19 Dec 2025,2025-12-19,2025,"1,538 views",1538
1,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1671693/full,"Original Research

Published on 17 Dec 2025

Identification and functional analysis of hub genes in knee osteoarthritis via bioinformatics and experimental validation

in Genomic Analysis

Shanyong Jiang
Jingjing Cao
Jianshu Lu
Jianxiao Liang
Lianxin Li
Yanqiang Song
Jincheng Gao
Baoen Jiang
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1671693
1,852 views",10.3389/fbinf.2025.1671693,Published on,17 Dec 2025,2025-12-17,2025,"1,852 views",1852
1,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1708800/full,"Original Research

Published on 17 Dec 2025

Pan-cancer analyses identify oncogenic drivers, expression signatures, and therapeutic vulnerabilities in RHO GTPase pathway genes

in Genomic Analysis

Rubén Fernández
L. Francisco Lorenzo-Martín
Víctor Quesada
Xosé R. Bustelo
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1708800
2,068 views
1 citation",10.3389/fbinf.2025.1708800,Published on,17 Dec 2025,2025-12-17,2025,"2,068 views",2068
1,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1689172/full,"Original Research

Published on 16 Dec 2025

In silico identification of novel natural compounds as potential KIFC1 inhibitors for the therapeutic intervention of triple-negative breast cancer

in Drug Discovery in Bioinformatics

Prashant Kumar Tiwari
Mukesh Kumar
Richa Mishra
Xiaomeng Zhang
Sanjay Kumar
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1689172
1,985 views",10.3389/fbinf.2025.1689172,Published on,16 Dec 2025,2025-12-16,2025,"1,985 views",1985
1,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1676359/full,"Review

Published on 16 Dec 2025

Bioengineering hybrid artificial life

in Protein Bioinformatics

Innocent Sibanda
Geoff Nitschke
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1676359
2,643 views",10.3389/fbinf.2025.1676359,Published on,16 Dec 2025,2025-12-16,2025,"2,643 views",2643
1,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1684227/full,"Technology and Code

Published on 11 Dec 2025

Celline: a flexible tool for one-step retrieval and integrative analysis of public single-cell RNA sequencing data

in Single Cell Bioinformatics

Yuya Sato
Toru Asahi
Kosuke Kataoka
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1684227
3,157 views",10.3389/fbinf.2025.1684227,Published on,11 Dec 2025,2025-12-11,2025,"3,157 views",3157
1,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1654326/full,"Original Research

Published on 10 Dec 2025

Identification and validation of tumor microenvironment-related therapeutic targets in gastric cancer using integrated multi-omics and molecular docking approaches

in Network Bioinformatics

Mohamed Kalith Oli M.
Jafar Ali Ibrahim Syed Masood
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1654326
2,212 views",10.3389/fbinf.2025.1654326,Published on,10 Dec 2025,2025-12-10,2025,"2,212 views",2212
1,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1641521/full,"Original Research

Published on 10 Dec 2025

Neurogenic locus notch homolog protein 1 (NOTCH 1) SNP informatics coupled with intrinsically disordered regions and post-translational modifications reveals the complex structural crosstalk of Lung Adenocarcinoma (LUAD)

in Integrative Bioinformatics

Pearl John
C. Sudandiradoss
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1641521
1,345 views",10.3389/fbinf.2025.1641521,Published on,10 Dec 2025,2025-12-10,2025,"1,345 views",1345
1,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1678189/full,"Original Research

Published on 05 Dec 2025

Uncovering human kinase substrates in nipah proteome

in Protein Bioinformatics

Vineetha Shaji
Akash Anil
Ayisha A. Jabbar
Althaf Mahin
Ahmad Rafi
Amjesh Revikumar
Sowmya Soman
Ganesh Prasad
Sneha M. Pinto
Yashwanth Subbannayya
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1678189
3,103 views
1 citation",10.3389/fbinf.2025.1678189,Published on,05 Dec 2025,2025-12-05,2025,"3,103 views",3103
1,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1705930/full,"Original Research

Published on 04 Dec 2025

Predicting GD2 expression across cancer types by the integration of pathway topology and transcriptome data

in Integrative Bioinformatics

Arsenij Ustjanzew
Federico Marini
Saskia Wagner
Arthur Wingerter
Roger Sandhoff
Jörg Faber
Claudia Paret
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1705930
2,137 views",10.3389/fbinf.2025.1705930,Published on,04 Dec 2025,2025-12-04,2025,"2,137 views",2137
1,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1695217/full,"Original Research

Published on 03 Dec 2025

Subtractive genomic approach to uncover novel drug targets in Salmonella typhimurium and computational screening of food-based polyphenols as inhibitors

in Genomic Analysis

Mohammed Naveez Valathoor
Subhashree Venugopal
Anand Prem Rajan
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1695217
1,702 views
1 citation",10.3389/fbinf.2025.1695217,Published on,03 Dec 2025,2025-12-03,2025,"1,702 views",1702
1,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1750582/full,"Correction

Published on 03 Dec 2025

Correction: Integrative machine learning and bioinformatics analysis to identify cellular senescence-related genes and potential therapeutic targets in ulcerative colitis and colorectal cancer

in Integrative Bioinformatics

Tianle Xue
Yunpeng Chen
Xiaomeng Li
Zhixiang Zhou
Qiyang Chen
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1750582
983 views",10.3389/fbinf.2025.1750582,Published on,03 Dec 2025,2025-12-03,2025,983 views,983
1,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1680578/full,"Original Research

Published on 02 Dec 2025

Functional and structural impacts of oncogenic missense variants on human polo-like kinase 1 protein

in Genomic Analysis

Gayatri Munieswaran
Venkatraman Manickam
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1680578
1,796 views",10.3389/fbinf.2025.1680578,Published on,02 Dec 2025,2025-12-02,2025,"1,796 views",1796
1,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1671626/full,"Original Research

Published on 02 Dec 2025

Genomics-driven drug repurposing and novel targets identification for sickle cell disease in Saudi patients

in Drug Discovery in Bioinformatics

Ali Alghubayshi
Mohammad A. Alshabeeb
Dayanjan Wijesinghe
Mohammed AlAwadh
Suad Alshammari
Khalifa Alrajeh
Mona A. Alkhairi
Imadul Islam
Ahmed Alaskar
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1671626
2,859 views
1 citation",10.3389/fbinf.2025.1671626,Published on,02 Dec 2025,2025-12-02,2025,"2,859 views",2859
1,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1695353/full,"Original Research

Published on 28 Nov 2025

Beyond Tanimoto: a learned bioactivity similarity index enhances ligand discovery

in Protein Bioinformatics

Gustavo Schottlender
Juan Manuel Prieto
Marcelo A. Marti
Dario Fernández Do Porto
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1695353
2,358 views
2 citations",10.3389/fbinf.2025.1695353,Published on,28 Nov 2025,2025-11-28,2025,"2,358 views",2358
1,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1673480/full,"Brief Research Report

Published on 27 Nov 2025

Higher frequency of prokaryotic low complexity regions in core and orthologous genes

in Evolutionary Bioinformatics

Vineet Saravanan
Alexander Kravetz
Fabia Ursula Battistuzzi
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1673480
1,368 views",10.3389/fbinf.2025.1673480,Published on,27 Nov 2025,2025-11-27,2025,"1,368 views",1368
1,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1694009/full,"Technology and Code

Published on 25 Nov 2025

Bacteriocin prediction through cross-validation-based and hypergraph-based feature evaluation approaches

in Protein Bioinformatics

Suraiya Akhter
John H. Miller
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1694009
1,570 views",10.3389/fbinf.2025.1694009,Published on,25 Nov 2025,2025-11-25,2025,"1,570 views",1570
1,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1696823/full,"Technology and Code

Published on 21 Nov 2025

inDAGO: a user-friendly interface for seamless dual and bulk RNA-Seq analysis

in RNA Bioinformatics

Gaetano Aufiero
Carmine Fruggiero
Nunzio D’Agostino
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1696823
2,112 views",10.3389/fbinf.2025.1696823,Published on,21 Nov 2025,2025-11-21,2025,"2,112 views",2112
1,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1690229/full,"Brief Research Report

Published on 19 Nov 2025

Computational analysis of transcriptome data and mapping of functional networks in Parkinson’s disease

in Genomic Analysis

Konstantinos Perperidis
Themis P. Exarchos
Aristidis G. Vrahatis
Panagiotis Vlamos
Marios G. Krokidis
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1690229
2,061 views
1 citation",10.3389/fbinf.2025.1690229,Published on,19 Nov 2025,2025-11-19,2025,"2,061 views",2061
1,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1690766/full,"Methods

Published on 19 Nov 2025

Multi-marker comparative analysis of 18S, ITS1, and ITS2 primers for human gut mycobiome profiling

in Genomic Analysis

Hiba Orsud
Sumaya Zoughbor
Fatima AlDhaheri
Khalid Hajissa
Manar Refaey
Suad Ajab
Khaled Alswaider
Nora Mohamed
Obaid Alkaabi
Zakeya Al Rasbi
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1690766
2,452 views
1 citation",10.3389/fbinf.2025.1690766,Published on,19 Nov 2025,2025-11-19,2025,"2,452 views",2452
1,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1710926/full,"Brief Research Report

Published on 19 Nov 2025

Completing a molecular timetree of Afrotheria

in Evolutionary Bioinformatics

Jack M. Craig
Whitney L. Fisher
Allan S. Thomas
S. Blair Hedges
Sudhir Kumar
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1710926
2,566 views",10.3389/fbinf.2025.1710926,Published on,19 Nov 2025,2025-11-19,2025,"2,566 views",2566
1,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1683469/full,"Original Research

Published on 18 Nov 2025

Role of histone-lysine N-methyltransferase 2D (KMT2D) in MEK-ERK signaling-mediated epigenetic regulation: a phosphoproteomics perspective

in Protein Bioinformatics

Sreeshma Ravindran Kammarambath
Leona Dcunha
Athira Perunelly Gopalakrishnan
Amal Fahma
Neelam Krishna
Altaf Mahin
Samseera Ummar
Prathik Basthikoppa Shivamurthy
Inamul Hasan Madar
Rajesh Raju
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1683469
2,531 views
2 citations",10.3389/fbinf.2025.1683469,Published on,18 Nov 2025,2025-11-18,2025,"2,531 views",2531
1,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1716375/full,"Original Research

Published on 18 Nov 2025

Food-derived linear vs. rationally designed cyclic peptides as potent TNF-alpha inhibitors: an integrative computational study

in Drug Discovery in Bioinformatics

Manisha Shah
Sivakumar Arumugam
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1716375
2,689 views
1 citation",10.3389/fbinf.2025.1716375,Published on,18 Nov 2025,2025-11-18,2025,"2,689 views",2689
1,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1663846/full,"Original Research

Published on 17 Nov 2025

QSAR-guided discovery of novel KRAS inhibitors for lung cancer therapy

in Drug Discovery in Bioinformatics

Osasan Stephen Adebayo
George Oche Ambrose
Daramola Olusola
Adefolalu Oluwafemi
Hind A. Alzahrani
Abdulkarim Hasan
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1663846
1,823 views
1 citation",10.3389/fbinf.2025.1663846,Published on,17 Nov 2025,2025-11-17,2025,"1,823 views",1823
2,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1687617/full,"Original Research

Published on 17 Nov 2025

Machine learning-guided optimization of triple agonist peptide therapeutics for metabolic disease

in Drug Discovery in Bioinformatics

Anthony Wong
Sanskruthi Guduri
TsungYen Chen
Kunal Patel
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1687617
3,036 views
1 citation",10.3389/fbinf.2025.1687617,Published on,17 Nov 2025,2025-11-17,2025,"3,036 views",3036
2,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1636240/full,"Original Research

Published on 13 Nov 2025

Comprehensive analysis of multi-omics vaccine response data using MOFA and Stabl algorithms

in Single Cell Bioinformatics

Aanya Gupta
Koji Abe
Holden T. Maecker
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1636240
2,245 views",10.3389/fbinf.2025.1636240,Published on,13 Nov 2025,2025-11-13,2025,"2,245 views",2245
2,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1684042/full,"Original Research

Published on 05 Nov 2025

ParaDeep: sequence-based deep learning for residue-level paratope prediction using chain-aware BiLSTM-CNN models

in Protein Bioinformatics

Piyachat Udomwong
Thanathat Pamonsupornwichit
Kanchanok Kodchakorn
Chatchai Tayapiwatana
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1684042
2,356 views
1 citation",10.3389/fbinf.2025.1684042,Published on,05 Nov 2025,2025-11-05,2025,"2,356 views",2356
2,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1681811/full,"Original Research

Published on 04 Nov 2025

Cellf-deception: human microglia clone 3 (HMC3) cells exhibit more astrocyte-like than microglia-like gene expression

in Genomic Analysis

Kylee K. Rahm
Branden S. Kinghorn
Myanna J. Moody
Ben C. Stone
Kenton C. Strong
Brian S. Kim
Yen Jou Chang
Samantha N. Sleight
Alyssa A. Nitz
David V. Hansen
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1681811
3,327 views
1 citation",10.3389/fbinf.2025.1681811,Published on,04 Nov 2025,2025-11-04,2025,"3,327 views",3327
2,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1665892/full,"Original Research

Published on 03 Nov 2025

Identification of ordinal relations and alternative suborders within high-dimensional molecular data

in Integrative Bioinformatics

Ana Stolnicu
Peter Eckhardt-Bellmann
Angelika M. R. Kestler
Hans A. Kestler
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1665892
1,477 views",10.3389/fbinf.2025.1665892,Published on,03 Nov 2025,2025-11-03,2025,"1,477 views",1477
2,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1645520/full,"Review

Published on 31 Oct 2025

Segmentation and modeling of large-scale microvascular networks: a survey

in Computational BioImaging

Helya Goharbavang
Artem T. Ashitkov
Athira Pillai
Joshua D. Wythe
Guoning Chen
David Mayerich
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1645520
2,622 views",10.3389/fbinf.2025.1645520,Published on,31 Oct 2025,2025-10-31,2025,"2,622 views",2622
2,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1705252/full,"Editorial

Published on 31 Oct 2025

Editorial: Computational protein function prediction based on sequence and/or structural data

in Protein Bioinformatics

Yaan J. Jang
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1705252
1,996 views",10.3389/fbinf.2025.1705252,Published on,31 Oct 2025,2025-10-31,2025,"1,996 views",1996
2,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1693343/full,"Perspective

Published on 30 Oct 2025

The importance of democratized resources in early-career training for bioimage analysts and bioimaging scientists

in Computational BioImaging

Genevieve Laprade
Quinn Lee
Kristin L. Gallik
Michael Nelson
Natalie Woo
Celina Terán Ramírez
Alexis Ricardo Becerril Cuevas
Kevin W. Eliceiri
Corinne Esquibel
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1693343
2,198 views",10.3389/fbinf.2025.1693343,Published on,30 Oct 2025,2025-10-30,2025,"2,198 views",2198
2,https://www.frontiersin.org/journals/bioinformatics/articles/10.3389/fbinf.2025.1674179/full,"Original Research

Published on 29 Oct 2025

Gene expression profile in colon cancer therapeutic resistance and its relationship with the tumor microenvironment

in Network Bioinformatics

Priscila Galvão Doria
Gisele Vieira Rocha
Vanessa Dybal Bertoni
Roberto de Souza Batista dos Santos
Mariana Araújo-Pereira
Clarissa Gurgel
Frontiers in Bioinformatics
doi 10.3389/fbinf.2025.1674179
2,015 views
1 citation",10.3389/fbinf.2025.1674179,Published on,29 Oct 2025,2025-10-29,2025,"2,015 views",2015
