especialidad_moda,cardio_isquemica,n_beneficiarios
Desconocido,0,415537
MEDICO CLINICO,0,35795
HOSPITAL,0,19551
OFTALMOLOGIA,0,12973
ANÁLISES CLÍNICAS DIVERSAS,0,11508
CLINICA MÉDICA,0,10912
PATOLOGIA CLÍNICA / MEDICINA LABORATORIAL,0,8580
MEDICO PEDIATRA,0,6559
ORTOPEDIA E TRAUMATOLOGIA,0,6255
PRONTO ATENDIMENTO GERAL,0,5795
CARDIOLOGIA,0,5620
PEDIATRIA,0,5348
MEDICO OFTALMOLOGISTA,0,5259
MEDICO ORTOPEDISTA E TRAUMATOLOGISTA,0,5084
DERMATOLOGIA,0,4544
CIRURGIAO / CLINICO,0,4186
MEDICO GINECOLOGISTA E OBSTETRA,0,3665
CLINICO GERAL,0,3597
PSICOLOGO CLINICO,0,3488
OTORRINOLARINGOLOGIA,0,3244
RADIOLOGIA E DIAGNÓSTICO POR IMAGEM,0,2810
GINECOLOGIA E OBSTETRICIA,0,2794
MEDICO DERMATOLOGISTA,0,2752
PSICOLOGIA,0,2611
MEDICO CARDIOLOGISTA,0,2579
TERAPIAS ESPECÍFICAS,0,2283
MEDICO OTORRINOLARINGOLOGISTA,0,2199
CLINICA GERAL,0,2099
FISIOTERAPEUTA GERAL,0,2078
MEDICINA FÍSICA E REABILITAÇÃO,0,1873
CIRURGIA GERAL,0,1850
PSIQUIATRIA,0,1833
UROLOGIA,0,1720
MEDICO EM RADIOLOGIA E DIAGNOSTICO POR IMAGEM,0,1660
CLÍNICA MÉDICA,0,1576
MEDICO ENDOCRINOLOGISTA E METABOLOGISTA,0,1567
PATOLOGIA,0,1357
GINECOLOGIA E OBSTETRÍCIA,0,1356
ENDOCRINOLOGIA,0,1280
HOSPITAIS,0,1186
MEDICO PSIQUIATRA,0,1159
MEDICO UROLOGISTA,0,1111
ANALISES CLINICAS,0,1109
OBSTETRICIA,0,1099
FONOAUDIOLOGO,0,1077
GASTROENTEROLOGIA,0,1073
MEDICO CIRURGIAO PLASTICO,0,931
GINECOLOGIA,0,923
MEDICO CIRURGIAO GERAL,0,872
MÉTODO ABA (ANÁLISE DE COMPORT,0,859
MEDICO CIRURGIAO DO APARELHO DIGESTIVO,0,839
GINECOLOGIA  E OBSTETRICIA,0,826
COLPOSCOPIA  COLPOCITOPATOLOGIA,0,792
MEDICO DE FAMILIA E COMUNIDADE,0,781
MEDICO PATOLOGISTA CLINICO/ MEDICINA LABORATORIAL,0,777
ALERGIA E IMUNOLOGIA,0,719
