feature,importancia
n_cetipo_internacao,0.7380870939321629
edad_referencia,0.1590403857815357
costo_min_no_cardio,0.04477111476523187
costo_sd_no_cardio,0.011451586499478384
tipo_beneficiario_moda_Não Informado,0.011033342375263003
n_utilizaciones_no_cardio,0.009706569959353848
estado_moda_PE,0.009673505057874534
cetipo_moda_Terapia,0.007778613240553641
n_cetipo_outros,0.00531163283277617
tasa_internado_no_cardio,0.001692070514415437
tipo_beneficiario_moda_TITULAR,0.001011862109943185
costo_total_no_cardio,0.00036674663883793626
costo_promedio_no_cardio,7.547629257335912e-05
n_unidades_no_cardio,0.0
paso_uti_no_cardio,0.0
n_uti_no_cardio,0.0
costo_max_no_cardio,0.0
n_cetipos_no_cardio,0.0
n_procedimientos_distintos_no_cardio,0.0
n_especialidades_no_cardio,0.0
n_estados_no_cardio,0.0
tasa_uti_no_cardio,0.0
n_cetipo_terapia,0.0
n_cetipo_exame,0.0
sexo_n_distintos,0.0
n_cetipo_pronto_socorro,0.0
tipo_beneficiario_n_distintos,0.0
n_cetipo_consulta,0.0
paso_internado_no_cardio,0.0
n_internado_no_cardio,0.0
sexo_moda_M,0.0
sexo_moda_F,0.0
fecha_nacimiento_n_distintas,0.0
tipo_beneficiario_moda_AGREGADO,0.0
tipo_beneficiario_moda_DEPENDENTE,0.0
tipo_beneficiario_moda_OUTROS,0.0
tipo_beneficiario_moda_infrequent_sklearn,0.0
sexo_moda_Não Informado,0.0
estado_moda_BA,0.0
estado_moda_Desconocido,0.0
