feature_original,importancia_media_pr_auc,importancia_sd
n_cetipo_internacao,0.14432761552891682,8.50008733776966e-05
edad_referencia,0.09346672497987277,0.012318194681862078
tasa_internado_no_cardio,0.0698315598941461,0.003188876192362396
costo_promedio_no_cardio,0.02280700727529306,0.0043812313856868065
costo_total_no_cardio,0.008891007114533639,0.0004970909282333982
cetipo_moda,0.00014212241688663085,0.00018701883272060854
estado_moda,0.00010796343665605556,0.00011403532849531541
tipo_beneficiario_moda,1.0708948187571065e-05,5.559640734873682e-05
fecha_nacimiento_n_distintas,0.0,0.0
n_registros_no_cardio,0.0,0.0
paso_internado_no_cardio,0.0,0.0
costo_max_no_cardio,0.0,0.0
paso_uti_no_cardio,0.0,0.0
n_procedimientos_distintos_no_cardio,0.0,0.0
n_unidades_no_cardio,0.0,0.0
n_estados_no_cardio,0.0,0.0
n_cetipos_no_cardio,0.0,0.0
n_especialidades_no_cardio,0.0,0.0
especialidad_moda,0.0,0.0
sexo_moda,0.0,0.0
n_internado_no_cardio,0.0,0.0
tasa_uti_no_cardio,0.0,0.0
n_uti_no_cardio,0.0,0.0
n_cetipo_terapia,0.0,0.0
n_cetipo_exame,0.0,0.0
n_cetipo_consulta,0.0,0.0
tipo_unidad_moda,0.0,0.0
tipo_beneficiario_n_distintos,0.0,0.0
n_cetipo_pronto_socorro,0.0,0.0
sexo_n_distintos,0.0,0.0
costo_sd_no_cardio,-2.0933002670553426e-05,2.6793796599472765e-06
n_cetipo_outros,-2.7181328508174564e-05,8.039499724334742e-07
costo_min_no_cardio,-0.0001875814405292775,0.00013020314992075955
n_utilizaciones_no_cardio,-0.00024179958919242627,0.004440467727012264
