feature_original,importancia_media_pr_auc,importancia_sd
n_cetipo_internacao,0.1585669446554966,0.00017481479963145052
edad_referencia,0.10119027320498301,0.012534349499247767
n_internado_no_cardio,0.029924390619384168,0.006163018054811154
costo_total_no_cardio,0.025990253431698022,0.0064730391321417445
tasa_internado_no_cardio,0.0016663055143161798,0.0030132900617783082
n_procedimientos_distintos_no_cardio,0.0007950739824958087,0.0019081178943016295
tipo_beneficiario_moda,0.0007104405140753833,0.0004641049312405103
sexo_moda,0.0006551869886661677,0.00011898939600425232
tipo_unidad_moda,0.00012878369633229637,2.553964208890467e-05
n_cetipo_consulta,0.00011853541016161317,0.00012141356300701553
estado_moda,8.039887580292837e-05,0.0005171331092265865
tipo_beneficiario_n_distintos,0.0,0.0
fecha_nacimiento_n_distintas,0.0,0.0
sexo_n_distintos,0.0,0.0
n_uti_no_cardio,0.0,0.0
paso_uti_no_cardio,0.0,0.0
tasa_uti_no_cardio,0.0,0.0
paso_internado_no_cardio,0.0,0.0
n_estados_no_cardio,-5.506792316273268e-06,0.0001043077122597052
n_cetipos_no_cardio,-1.1144893045778038e-05,2.6535443612090096e-06
n_cetipo_outros,-2.179406189709021e-05,4.5973110025761365e-05
n_especialidades_no_cardio,-4.745141762162453e-05,0.0005619677792846595
n_cetipo_pronto_socorro,-0.00017486440142591708,0.0001312406655043659
especialidad_moda,-0.00022738728627771931,0.0002167986105441265
cetipo_moda,-0.00024855318541267544,0.0004016167196152484
costo_sd_no_cardio,-0.0005521630095707885,0.0006663349758299966
n_unidades_no_cardio,-0.0006488012148090361,0.0003528507652219708
n_cetipo_exame,-0.0010906426199377484,0.0015854077571557316
n_cetipo_terapia,-0.0017285873303378384,0.00141749667878132
costo_min_no_cardio,-0.0019759145006154276,0.0006885650853574425
costo_max_no_cardio,-0.0021676270386442433,0.00043686716549116853
n_utilizaciones_no_cardio,-0.0031587507747112,0.004995314123954598
n_registros_no_cardio,-0.0034078383925777223,0.0016579651296467148
costo_promedio_no_cardio,-0.00474093090553715,0.001894960533604883
