feature_original,importancia_media_pr_auc,importancia_sd
cetipo_moda,0.04771836586740004,0.0035318985418171054
edad_referencia,0.03007475302052629,0.003918309392329484
costo_promedio_no_cardio,0.02559883143983921,0.0014302854505773748
costo_sd_no_cardio,0.025032534083924605,0.0013474792918775035
sexo_moda,0.01669663616767656,0.0034690507831063398
costo_max_no_cardio,0.01605067462354271,0.00046135503149087375
n_internado_no_cardio,0.01354645317088501,8.613955329928804e-05
costo_min_no_cardio,0.01310055689883342,0.000850158761198452
n_cetipos_no_cardio,0.011995562239015345,0.0023305631646859913
n_cetipo_outros,0.011958641739867288,0.001343520251369525
paso_internado_no_cardio,0.011692333191311917,0.0004780222198259042
especialidad_moda,0.010474019332728892,0.006870852563531677
n_cetipo_terapia,0.007515294762120412,0.003265359266264546
tipo_beneficiario_moda,0.005999914397402882,0.0029531274332827524
n_registros_no_cardio,0.0015735924045660002,5.237361345114968e-05
n_cetipo_consulta,0.0012693507201837818,0.00015028817856332943
tipo_unidad_moda,0.0012669519217881702,0.001713664303178245
tasa_uti_no_cardio,0.0007420754281305785,2.9022984782718646e-05
n_unidades_no_cardio,0.00028076570418988087,0.0024219894830902833
n_especialidades_no_cardio,0.00011165014576430543,0.0009900601771268794
fecha_nacimiento_n_distintas,-5.107419841485217e-07,4.541248162679472e-07
sexo_n_distintos,-8.986496877030902e-06,3.9327527905892094e-05
estado_moda,-0.00010868480630510796,0.003755955625142734
n_estados_no_cardio,-0.00011740375193837055,7.490161557003136e-05
n_cetipo_pronto_socorro,-0.0007700681494362052,0.0001018473775434692
paso_uti_no_cardio,-0.0010637605853944423,4.414312279045951e-05
n_cetipo_exame,-0.0011502856477953669,0.0003600963341387394
costo_total_no_cardio,-0.0013652950525022355,8.582976819280235e-05
tasa_internado_no_cardio,-0.0016553085981520597,0.00028901978140627563
n_uti_no_cardio,-0.0019309408146460719,8.05433532246043e-06
tipo_beneficiario_n_distintos,-0.00205224350800485,0.000364042905341984
n_procedimientos_distintos_no_cardio,-0.0031798342687554245,0.0014219528948425676
n_cetipo_internacao,-0.008630480090967002,0.0020105213049285433
n_utilizaciones_no_cardio,-0.02063344827380853,0.019062019010035722
