target_k80,especialidad,n_registros
0,MEDICO CLINICO,615944
0,CLINICA MEDICA,205579
0,PATOLOGIA CLINICA / MEDICINA LABORATORIAL,198929
0,ANALISES CLINICAS DIVERSAS,171823
0,CIRURGIA GERAL,82887
0,PRONTO ATENDIMENTO GERAL,75913
0,CIRURGIAO / CLINICO,74424
0,OFTALMOLOGIA,65072
0,MEDICO EM RADIOLOGIA E DIAGNOSTICO POR IMAGEM,54460
0,CLINICO GERAL,44040
0,MEDICO ORTOPEDISTA E TRAUMATOLOGISTA,42645
0,TERAPIAS ESPECIFICAS,31535
0,FISIOTERAPEUTA GERAL,30911
0,MEDICO GINECOLOGISTA E OBSTETRA,29591
0,ORTOPEDIA E TRAUMATOLOGIA,29430
0,CARDIOLOGIA,28411
0,PSICOLOGO CLINICO,27086
0,OBSTETRICIA,26896
0,RADIOLOGIA E DIAGNOSTICO POR IMAGEM,26622
0,MEDICO OFTALMOLOGISTA,26327
0,METODO ABA (ANALISE DE COMPORT,25360
0,PATOLOGIA,24418
0,MEDICO PEDIATRA,24304
0,MEDICO CARDIOLOGISTA,24257
0,ANALISES CLINICAS,22551
1,MEDICO CLINICO,778
1,PRONTO ATENDIMENTO GERAL,704
1,HOSPITAIS,290
1,MEDICO CIRURGIAO DO APARELHO DIGESTIVO,108
1,MEDICO ANESTESIOLOGISTA,99
1,MEDICO CIRURGIAO GERAL,73
1,CIRURGIA GERAL,66
1,ANESTESIOLOGIA,58
1,MEDICO PATOLOGISTA,57
1,ANALISES CLINICAS DIVERSAS,56
1,MEDICO EM RADIOLOGIA E DIAGNOSTICO POR IMAGEM,44
1,MEDICO ORTOPEDISTA E TRAUMATOLOGISTA,36
1,CLINICO GERAL,27
1,MEDICO DE FAMILIA E COMUNIDADE,20
1,MEDICO CARDIOLOGISTA,16
1,PSICOLOGO CLINICO,16
1,CONSULTA EM ONCOLOGIA CLINICA,14
1,MEDICO EM CIRURGIA VASCULAR,12
1,CIRURGIA DO APARELHO DIGESTIVO,11
1,MEDICO GINECOLOGISTA E OBSTETRA,9
1,MEDICO CIRURGIAO PLASTICO,7
1,CLINICA GERAL,6
1,GERAIS,6
1,MEDICO CIRURGIAO TORACICO,6
1,MEDICO EM ENDOSCOPIA,6
