target_k80,codigo,descripcion,n_registros,costo_total_positivo
0,90101040,OUTROS REGISTROS NAO MAPEADOS SEM DEPARA,2710523,515102782.029999
0,10101012,EM CONSULTORIO (NO HORARIO NORMAL OU PREESTABELECIDO),801645,98673223.34
0,40304361,"HEMOGRAMA COM CONTAGEM DE PLAQUETAS OU FRACOES (ERITROGRAMA, LEUCOGRAMA, PLAQUETAS)",194057,1793497.21
0,10101039,EM PRONTO SOCORRO,180588,26083735.21
0,40301630,CREATININA,147155,631459.64
0,20104219,SESSAO DE PSICOTERAPIA INDIVIDUAL,144553,9141859.24
0,40302040,GLICOSE,140285,584878.890000001
0,40302830,VITAMINA D 25 HIDROXI DOSAGEM (VITAMINA D3),124318,3149053.75
0,40302580,UREIA,121426,551668.63
0,40302512,TRANSAMINASE PIRUVICA (AMINO TRANSFERASE DE ALANINA),107118,520220.57
0,40302504,TRANSAMINASE OXALACETICA (AMINO TRANSFERASE ASPARTATO),103273,505520.89
0,40311210,"ROTINA DE URINA (CARACTERES FISICOS, ELEMENTOS ANORMAIS E SEDIMENTOSCOPIA)",94254,580221.04
0,40301605,COLESTEROL TOTAL,92859,347636.6
0,40302547,TRIGLICERIDEOS,91850,486218.25
0,40301583,COLESTEROL (HDL),89837,678926.059999999
0,40302318,POTASSIO,84707,400389.6
0,40302733,HEMOGLOBINA GLICADA (FRACAO A1C),81016,1303102.48
0,40302423,SODIO,77249,392791.51
0,40712524,"TIREOESTIMULANTE, HORMONIO (TSH)",70653,1797586.87
0,50000470,SESSAO DE PSICOTERAPIA INDIVIDUAL POR PSICOLOGO,63891,3060313.94
0,40712575,VITAMINA B12,63714,1677187.59
0,40301150,ACIDO URICO,61812,283949.45
0,40301842,FERRO SERICO,55877,324700.05
0,40301990,GAMA-GLUTAMIL TRANSFERASE,53108,371887.34
0,40712273,FERRITINA,52864,1912767.84
0,40712494,T4 LIVRE,51483,1345149.11
0,40101010,ECG CONVENCIONAL DE ATE 12 DERIVACOES,51030,1121245.62
0,41301323,TONOMETRIA - BINOCULAR,48449,451153.32
0,40316521,"TIREOESTIMULANTE, HORMONIO (TSH) - PESQUISA E/OU DOSAGEM",47040,929292.859999999
0,40901122,ABDOME TOTAL (INCLUI PELVE),42558,4625873.05
1,90101040,OUTROS REGISTROS NAO MAPEADOS SEM DEPARA,17961,2641961.45
1,10101012,EM CONSULTORIO (NO HORARIO NORMAL OU PREESTABELECIDO),929,107635.03
1,31005497,COLECISTECTOMIA SEM COLANGIOGRAFIA POR VIDEOLAPAROSCOPIA,640,510812.43
1,40304361,"HEMOGRAMA COM CONTAGEM DE PLAQUETAS OU FRACOES (ERITROGRAMA, LEUCOGRAMA, PLAQUETAS)",364,2882.11
1,40301630,CREATININA,284,1046.56
1,10102019,VISITA HOSPITALAR (PACIENTE INTERNADO),257,24756.49
1,40302580,UREIA,243,900.480000000002
1,40302318,POTASSIO,223,836.140000000002
1,40302512,TRANSAMINASE PIRUVICA (AMINO TRANSFERASE DE ALANINA),219,929.230000000002
1,40302423,SODIO,214,806.080000000002
1,40302504,TRANSAMINASE OXALACETICA (AMINO TRANSFERASE ASPARTATO),209,886.420000000002
1,10101039,EM PRONTO SOCORRO,193,26061.11
1,40601200,PROCEDIMENTO DIAGNOSTICO EM PECA ANATOMICA OU CIRURGICA SIMPLES,193,19284.48
1,40301397,"BILIRRUBINAS (DIRETA, INDIRETA E TOTAL)",189,755.900000000001
1,31005470,COLECISTECTOMIA COM COLANGIOGRAFIA POR VIDEOLAPAROSCOPIA,187,195833.68
1,40301990,GAMA-GLUTAMIL TRANSFERASE,158,881.040000000001
1,40302040,GLICOSE,158,583.350000000001
1,20203047,ASSISTENCIA FISIATRICA RESPIRATORIA EM DOENTE CLINICO INTERNADO,155,1660.14
1,20103093,ATENDIMENTO FISIATRICO NO PRE E POS-OPERATORIO DE PACIENTES PARA PREVENCAO DE SEQUELAS,142,1596.69
1,40307646,PROTEINA C REATIVA,131,2329.27
1,10104020,ATENDIMENTO MEDICO DO INTENSIVISTA EM UTI GERAL OU PEDIATRICA (PLANTAO DE 12 HORAS - POR PACIENTE),130,21039.09
1,40301885,FOSFATASE ALCALINA,123,604.13
1,40301281,AMILASE,114,479.380000000001
1,80201010,MEDICAMENTOS DE USO HOSPITALAR,111,1989.61
1,40304590,TEMPO DE PROTROMBINA,107,445.12
1,40311210,"ROTINA DE URINA (CARACTERES FISICOS, ELEMENTOS ANORMAIS E SEDIMENTOSCOPIA)",96,537.92
1,40101010,ECG CONVENCIONAL DE ATE 12 DERIVACOES,93,1920.71
1,40304639,TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA,89,451.59
1,31009166,HERNIORRAFIA UMBILICAL,86,13486.14
1,41001095,"ABDOME TOTAL (ABDOME SUPERIOR, PELVE E RETROPERITONIO)",80,35942.49
