chave_funcional,conjunto,modelo,observado,predicho
04f02181-2b35-4009-b9c9-c5b5136709ce,Prueba,GLM Gamma,15155.74,22858.3614881558
0a7b690b-f58e-4601-b81a-2bda50e8ab47,Prueba,GLM Gamma,12108.9,13008.2302472624
19bf281d-5471-4465-8b9b-e1e655c3b157,Prueba,GLM Gamma,9410.88,10369.381978018
214f2228-59d1-4e66-8e81-a0b505ed2575,Prueba,GLM Gamma,15072.41,7573.27497959973
2b9e7211-75e4-4782-8f04-3e53a33502d3,Prueba,GLM Gamma,9229.84,14967.1970374568
2bd2fc01-2c81-43e7-a59a-c9840a406076,Prueba,GLM Gamma,8814.51,7853.88130684251
2f708229-9567-494c-9695-875af40e946f,Prueba,GLM Gamma,8562.44,7633.17795356246
34e06219-936d-44dc-8ec1-00e7adfb59e0,Prueba,GLM Gamma,15207.39,63790.364048157
35ab192c-4d08-43cb-ac8d-6301f1ca87d4,Prueba,GLM Gamma,21510.83,12675.8872241476
39bbbbc6-2a77-4de5-a535-2d842afc94d5,Prueba,GLM Gamma,6670.52,10989.3600885682
3cc1ac67-43e3-468f-87d5-e3227af4f910,Prueba,GLM Gamma,6487.67,10398.7649139663
3cf8a048-0696-4535-8e04-cae51b97c9a9,Prueba,GLM Gamma,10713.42,56625.7807162914
3f797ec2-756f-4bd1-9e4d-3971366fe302,Prueba,GLM Gamma,20633.24,6909.75654823662
4b64ac56-3a67-489c-80d6-ce96cbff0aae,Prueba,GLM Gamma,60236.38,55381.040303926
4df5504a-0154-42ba-b5ed-86cc5ec4e3ad,Prueba,GLM Gamma,12582.77,9341.89666944115
52d242f5-fa57-4d04-9551-d80573389563,Prueba,GLM Gamma,6756.01,6735.25335412687
54572bfb-4f5c-47f3-b5c9-a517c55d511c,Prueba,GLM Gamma,11983.6,8055.49961814359
58d6ade6-9bc2-4129-a89a-540e3e4715f2,Prueba,GLM Gamma,17626.26,11992.2657335536
5f6c6134-2fb9-4763-acab-a164d37e3440,Prueba,GLM Gamma,7304.17,11386.9560301589
5ff2d17a-3720-4d48-88b6-5e987c9ebd9a,Prueba,GLM Gamma,97198.99,77075.6507776038
61ec3d45-4e1b-4a50-9df0-2a01a3d73cb4,Prueba,GLM Gamma,9019.87,50044.3857512996
6215eec7-653d-4486-a9ac-15df467252e8,Prueba,GLM Gamma,4949.79,7732.54416132243
674c1d3f-cd8d-4032-88dc-fa9bcb92c630,Prueba,GLM Gamma,42250.05,8326.6212681673
6a3317ee-a629-42cb-8e2e-c8e624e3a2f1,Prueba,GLM Gamma,15562.35,10173.9971822039
6c902481-eb48-46c9-a8a5-a00d156f0924,Prueba,GLM Gamma,9087.04,46937.1485908321
6ec0a88a-f06a-4eaa-84bf-2e68bc38d60f,Prueba,GLM Gamma,7369.91,18376.0454337628
7365497b-015a-4cf9-b1e3-4523a1a87ff4,Prueba,GLM Gamma,12535.17,15248.1488051391
746ff2db-31b2-4d93-ad45-63b341586114,Prueba,GLM Gamma,20692.66,19934.9999262719
88159316-a2ff-4b44-8949-ce4354ee4d13,Prueba,GLM Gamma,9700.72,12509.4792076367
89f482b4-c268-430e-bd11-a61c91bab658,Prueba,GLM Gamma,5329.22,6649.71549240799
944c786b-9aa5-48d3-87ee-e9b3e2bd23f1,Prueba,GLM Gamma,8260.7,7790.52083227948
97c455be-44af-402f-b47b-1436c6dfcb37,Prueba,GLM Gamma,8292.1,10394.0979403256
99d4a984-a32f-4086-8c51-cb0a45bfa0fe,Prueba,GLM Gamma,7330.03,7613.73862977906
a208891b-260b-4f75-9aed-7c9094174c1a,Prueba,GLM Gamma,6821.42,7881.14356408864
a46d4997-00c7-4ddb-95b6-72e3d8870a7c,Prueba,GLM Gamma,7865.05,6468.55245459933
af1224b2-93b5-4821-a8b5-bbbad2262321,Prueba,GLM Gamma,9970.47,7934.34961492889
b02e71ed-e14b-4b67-b089-ff425f56b12b,Prueba,GLM Gamma,10050.73,13868.660179618
b5305236-5629-4ab4-b2af-89e836826d0d,Prueba,GLM Gamma,71190.64,64215.6654375693
b612e008-42ce-4618-9da2-b6a45b2156c0,Prueba,GLM Gamma,13239.94,12946.9356813481
c0fc9be5-0c8f-4061-8a72-6edbdb696f9f,Prueba,GLM Gamma,10480.87,11474.7333514645
cce090fc-bb7c-48a8-8c2e-be0bb5898936,Prueba,GLM Gamma,4364.67,6638.23513364352
daf22f41-3318-453b-b42b-49b2168d038e,Prueba,GLM Gamma,8244.48,11785.2337427192
de9ea211-dd4d-4db7-8132-91c2e18bf685,Prueba,GLM Gamma,14797.38,12379.9864885293
e647bc48-38b7-46fd-8c30-63ab6dc12112,Prueba,GLM Gamma,15345.47,15414.2072568275
e7e63222-f483-48b3-8b83-f122669d3079,Prueba,GLM Gamma,8908.92,13526.6841613196
f4e35d7f-7415-4761-8e97-e95d66238a7f,Prueba,GLM Gamma,48391.05,22492.9534425135
fe6a22d4-b0c0-4062-b4af-cf2a2135998c,Prueba,GLM Gamma,4760.71,6624.10051261391
04f02181-2b35-4009-b9c9-c5b5136709ce,Prueba,Regresión lognormal,15155.74,18422.3290418092
0a7b690b-f58e-4601-b81a-2bda50e8ab47,Prueba,Regresión lognormal,12108.9,12805.0770951053
19bf281d-5471-4465-8b9b-e1e655c3b157,Prueba,Regresión lognormal,9410.88,11665.069748507
214f2228-59d1-4e66-8e81-a0b505ed2575,Prueba,Regresión lognormal,15072.41,7349.76593849071
2b9e7211-75e4-4782-8f04-3e53a33502d3,Prueba,Regresión lognormal,9229.84,16741.47343398
2bd2fc01-2c81-43e7-a59a-c9840a406076,Prueba,Regresión lognormal,8814.51,7650.00584056946
2f708229-9567-494c-9695-875af40e946f,Prueba,Regresión lognormal,8562.44,8169.44327550185
34e06219-936d-44dc-8ec1-00e7adfb59e0,Prueba,Regresión lognormal,15207.39,54988.481284184
35ab192c-4d08-43cb-ac8d-6301f1ca87d4,Prueba,Regresión lognormal,21510.83,12059.8727513787
39bbbbc6-2a77-4de5-a535-2d842afc94d5,Prueba,Regresión lognormal,6670.52,12082.0970229081
3cc1ac67-43e3-468f-87d5-e3227af4f910,Prueba,Regresión lognormal,6487.67,10421.8721121012
3cf8a048-0696-4535-8e04-cae51b97c9a9,Prueba,Regresión lognormal,10713.42,53132.7984819118
3f797ec2-756f-4bd1-9e4d-3971366fe302,Prueba,Regresión lognormal,20633.24,8127.78073563701
4b64ac56-3a67-489c-80d6-ce96cbff0aae,Prueba,Regresión lognormal,60236.38,43088.3622053451
4df5504a-0154-42ba-b5ed-86cc5ec4e3ad,Prueba,Regresión lognormal,12582.77,11162.9779414223
52d242f5-fa57-4d04-9551-d80573389563,Prueba,Regresión lognormal,6756.01,6866.81690817761
54572bfb-4f5c-47f3-b5c9-a517c55d511c,Prueba,Regresión lognormal,11983.6,7985.88801952263
58d6ade6-9bc2-4129-a89a-540e3e4715f2,Prueba,Regresión lognormal,17626.26,13033.8245573689
5f6c6134-2fb9-4763-acab-a164d37e3440,Prueba,Regresión lognormal,7304.17,11841.0400954527
5ff2d17a-3720-4d48-88b6-5e987c9ebd9a,Prueba,Regresión lognormal,97198.99,70300.5823035963
61ec3d45-4e1b-4a50-9df0-2a01a3d73cb4,Prueba,Regresión lognormal,9019.87,48622.431677658
6215eec7-653d-4486-a9ac-15df467252e8,Prueba,Regresión lognormal,4949.79,7949.59858899169
674c1d3f-cd8d-4032-88dc-fa9bcb92c630,Prueba,Regresión lognormal,42250.05,7367.36048799875
6a3317ee-a629-42cb-8e2e-c8e624e3a2f1,Prueba,Regresión lognormal,15562.35,11691.7490663826
6c902481-eb48-46c9-a8a5-a00d156f0924,Prueba,Regresión lognormal,9087.04,46939.3545145163
6ec0a88a-f06a-4eaa-84bf-2e68bc38d60f,Prueba,Regresión lognormal,7369.91,17890.6437954258
7365497b-015a-4cf9-b1e3-4523a1a87ff4,Prueba,Regresión lognormal,12535.17,16144.8576039868
746ff2db-31b2-4d93-ad45-63b341586114,Prueba,Regresión lognormal,20692.66,20226.8177659941
88159316-a2ff-4b44-8949-ce4354ee4d13,Prueba,Regresión lognormal,9700.72,14248.2793418801
89f482b4-c268-430e-bd11-a61c91bab658,Prueba,Regresión lognormal,5329.22,7311.17130598479
944c786b-9aa5-48d3-87ee-e9b3e2bd23f1,Prueba,Regresión lognormal,8260.7,9968.94940729318
97c455be-44af-402f-b47b-1436c6dfcb37,Prueba,Regresión lognormal,8292.1,11046.404669665
99d4a984-a32f-4086-8c51-cb0a45bfa0fe,Prueba,Regresión lognormal,7330.03,6962.99072660565
a208891b-260b-4f75-9aed-7c9094174c1a,Prueba,Regresión lognormal,6821.42,7721.61785010408
a46d4997-00c7-4ddb-95b6-72e3d8870a7c,Prueba,Regresión lognormal,7865.05,7551.4561516084
af1224b2-93b5-4821-a8b5-bbbad2262321,Prueba,Regresión lognormal,9970.47,8463.43268605573
b02e71ed-e14b-4b67-b089-ff425f56b12b,Prueba,Regresión lognormal,10050.73,14138.676521528
b5305236-5629-4ab4-b2af-89e836826d0d,Prueba,Regresión lognormal,71190.64,52485.2687226084
b612e008-42ce-4618-9da2-b6a45b2156c0,Prueba,Regresión lognormal,13239.94,13675.1981764644
c0fc9be5-0c8f-4061-8a72-6edbdb696f9f,Prueba,Regresión lognormal,10480.87,12304.134366113
cce090fc-bb7c-48a8-8c2e-be0bb5898936,Prueba,Regresión lognormal,4364.67,5694.74288519699
daf22f41-3318-453b-b42b-49b2168d038e,Prueba,Regresión lognormal,8244.48,10835.8076354638
de9ea211-dd4d-4db7-8132-91c2e18bf685,Prueba,Regresión lognormal,14797.38,13084.5068596782
e647bc48-38b7-46fd-8c30-63ab6dc12112,Prueba,Regresión lognormal,15345.47,16012.1091673383
e7e63222-f483-48b3-8b83-f122669d3079,Prueba,Regresión lognormal,8908.92,15269.4938126935
f4e35d7f-7415-4761-8e97-e95d66238a7f,Prueba,Regresión lognormal,48391.05,23822.5113919197
fe6a22d4-b0c0-4062-b4af-cf2a2135998c,Prueba,Regresión lognormal,4760.71,6853.72135243401
04f02181-2b35-4009-b9c9-c5b5136709ce,Prueba,Línea base: mediana,15155.74,8876.565
0a7b690b-f58e-4601-b81a-2bda50e8ab47,Prueba,Línea base: mediana,12108.9,8876.565
19bf281d-5471-4465-8b9b-e1e655c3b157,Prueba,Línea base: mediana,9410.88,8876.565
214f2228-59d1-4e66-8e81-a0b505ed2575,Prueba,Línea base: mediana,15072.41,8876.565
2b9e7211-75e4-4782-8f04-3e53a33502d3,Prueba,Línea base: mediana,9229.84,8876.565
2bd2fc01-2c81-43e7-a59a-c9840a406076,Prueba,Línea base: mediana,8814.51,8876.565
2f708229-9567-494c-9695-875af40e946f,Prueba,Línea base: mediana,8562.44,8876.565
34e06219-936d-44dc-8ec1-00e7adfb59e0,Prueba,Línea base: mediana,15207.39,8876.565
35ab192c-4d08-43cb-ac8d-6301f1ca87d4,Prueba,Línea base: mediana,21510.83,8876.565
39bbbbc6-2a77-4de5-a535-2d842afc94d5,Prueba,Línea base: mediana,6670.52,8876.565
3cc1ac67-43e3-468f-87d5-e3227af4f910,Prueba,Línea base: mediana,6487.67,8876.565
3cf8a048-0696-4535-8e04-cae51b97c9a9,Prueba,Línea base: mediana,10713.42,8876.565
3f797ec2-756f-4bd1-9e4d-3971366fe302,Prueba,Línea base: mediana,20633.24,8876.565
4b64ac56-3a67-489c-80d6-ce96cbff0aae,Prueba,Línea base: mediana,60236.38,8876.565
4df5504a-0154-42ba-b5ed-86cc5ec4e3ad,Prueba,Línea base: mediana,12582.77,8876.565
52d242f5-fa57-4d04-9551-d80573389563,Prueba,Línea base: mediana,6756.01,8876.565
54572bfb-4f5c-47f3-b5c9-a517c55d511c,Prueba,Línea base: mediana,11983.6,8876.565
58d6ade6-9bc2-4129-a89a-540e3e4715f2,Prueba,Línea base: mediana,17626.26,8876.565
5f6c6134-2fb9-4763-acab-a164d37e3440,Prueba,Línea base: mediana,7304.17,8876.565
5ff2d17a-3720-4d48-88b6-5e987c9ebd9a,Prueba,Línea base: mediana,97198.99,8876.565
61ec3d45-4e1b-4a50-9df0-2a01a3d73cb4,Prueba,Línea base: mediana,9019.87,8876.565
6215eec7-653d-4486-a9ac-15df467252e8,Prueba,Línea base: mediana,4949.79,8876.565
674c1d3f-cd8d-4032-88dc-fa9bcb92c630,Prueba,Línea base: mediana,42250.05,8876.565
6a3317ee-a629-42cb-8e2e-c8e624e3a2f1,Prueba,Línea base: mediana,15562.35,8876.565
6c902481-eb48-46c9-a8a5-a00d156f0924,Prueba,Línea base: mediana,9087.04,8876.565
6ec0a88a-f06a-4eaa-84bf-2e68bc38d60f,Prueba,Línea base: mediana,7369.91,8876.565
7365497b-015a-4cf9-b1e3-4523a1a87ff4,Prueba,Línea base: mediana,12535.17,8876.565
746ff2db-31b2-4d93-ad45-63b341586114,Prueba,Línea base: mediana,20692.66,8876.565
88159316-a2ff-4b44-8949-ce4354ee4d13,Prueba,Línea base: mediana,9700.72,8876.565
89f482b4-c268-430e-bd11-a61c91bab658,Prueba,Línea base: mediana,5329.22,8876.565
944c786b-9aa5-48d3-87ee-e9b3e2bd23f1,Prueba,Línea base: mediana,8260.7,8876.565
97c455be-44af-402f-b47b-1436c6dfcb37,Prueba,Línea base: mediana,8292.1,8876.565
99d4a984-a32f-4086-8c51-cb0a45bfa0fe,Prueba,Línea base: mediana,7330.03,8876.565
a208891b-260b-4f75-9aed-7c9094174c1a,Prueba,Línea base: mediana,6821.42,8876.565
a46d4997-00c7-4ddb-95b6-72e3d8870a7c,Prueba,Línea base: mediana,7865.05,8876.565
af1224b2-93b5-4821-a8b5-bbbad2262321,Prueba,Línea base: mediana,9970.47,8876.565
b02e71ed-e14b-4b67-b089-ff425f56b12b,Prueba,Línea base: mediana,10050.73,8876.565
b5305236-5629-4ab4-b2af-89e836826d0d,Prueba,Línea base: mediana,71190.64,8876.565
b612e008-42ce-4618-9da2-b6a45b2156c0,Prueba,Línea base: mediana,13239.94,8876.565
c0fc9be5-0c8f-4061-8a72-6edbdb696f9f,Prueba,Línea base: mediana,10480.87,8876.565
cce090fc-bb7c-48a8-8c2e-be0bb5898936,Prueba,Línea base: mediana,4364.67,8876.565
daf22f41-3318-453b-b42b-49b2168d038e,Prueba,Línea base: mediana,8244.48,8876.565
de9ea211-dd4d-4db7-8132-91c2e18bf685,Prueba,Línea base: mediana,14797.38,8876.565
e647bc48-38b7-46fd-8c30-63ab6dc12112,Prueba,Línea base: mediana,15345.47,8876.565
e7e63222-f483-48b3-8b83-f122669d3079,Prueba,Línea base: mediana,8908.92,8876.565
f4e35d7f-7415-4761-8e97-e95d66238a7f,Prueba,Línea base: mediana,48391.05,8876.565
