categoria,n,costo_promedio,costo_mediano,costo_q1,costo_q3,perfil
M,76,21789.1732894737,9775.11,7264.8425,15438.605,Sexo
F,220,12491.9696363636,9092.655,6881.94,12894.8525,Sexo
SIN INFORMACION,10,10958.47,9223.425,6884.195,14661.125,Sexo
30-44,111,11573.4373873874,8744.54,6744.15,12508.085,Grupo de edad
45-59,90,11539.0525555556,9320.36,7305.3925,13123.125,Grupo de edad
75 o más,16,28945.68875,10939.3,9679.745,22846.58,Grupo de edad
Menos de 30,48,11881.0508333333,9086.95,7197.1675,13063.9975,Grupo de edad
60-74,40,28529.48025,9393.24,6958.6725,16712.0825,Grupo de edad
,1,16028.24,16028.24,16028.24,16028.24,Grupo de edad
Sí,248,15768.9783467742,9566.88,7183.69,15074.505,Cirugía
No,58,10398.0786206897,7763.795,5967.2225,11105.79,Cirugía
Sí,303,14892.8174587459,9146.93,6986.905,14111.465,Internación
No,3,423.833333333333,470.06,296.37,574.41,Internación
HOSPITAL,198,13303.0638888889,9075.935,6981.8625,13928.6975,Unidad predominante
ATENCION_ESPECIALIZADA,30,35020.9996666667,13968.285,9154.8175,26209.4225,Unidad predominante
OTROS,12,9960.36083333333,9802.275,8195.0975,11659.6775,Unidad predominante
DIAGNOSTICO,30,9004.837,7062.32,6266.96,7892.6275,Unidad predominante
SIN INFORMACION,26,12772.1319230769,10795.06,8416.6475,12918.975,Unidad predominante
URGENCIAS,9,11882.6244444444,8562.44,7547.86,12535.17,Unidad predominante
ATENCION_PRIMARIA,1,470.06,470.06,470.06,470.06,Unidad predominante
